,档,矫焙,丑啊疙,week,俺眉锅龋,咀酒 俺荐,檬厘,勘荐,勘厘,勘气,勘捍厘,包何流版,拳规喊馒苞荐
0,傈合,辫力,20,2.0,1.0,0.0,39.5,5.0,7.3,5.3,27.5,11.85,0.0
1,傈合,辫力,20,2.0,2.0,0.0,40.6,5.0,7.9,5.2,12.0,10.46,0.0
2,傈合,辫力,20,2.0,3.0,0.0,27.0,5.0,4.5,3.4,17.6,8.54,0.0
3,傈合,辫力,20,2.0,4.0,0.0,38.2,6.0,8.6,5.7,17.3,11.99,0.0
4,傈合,辫力,20,3.0,1.0,0.0,39.5,6.0,7.9,5.3,14.8,12.09,0.0
5,傈合,辫力,20,3.0,2.0,0.0,26.5,5.0,7.4,5.0,12.4,10.94,0.0
6,傈合,辫力,20,3.0,3.0,0.0,23.8,5.0,6.0,4.5,16.6,8.9,0.0
7,傈合,辫力,20,3.0,4.0,0.0,38.4,7.0,9.4,7.3,13.7,12.5,0.0
8,傈合,辫力,20,4.0,1.0,0.0,30.0,3.0,10.6,8.6,17.8,13.24,0.0
9,傈合,辫力,20,4.0,2.0,0.0,26.3,3.0,7.0,4.3,10.6,12.08,0.0
10,傈合,辫力,20,4.0,3.0,0.0,24.0,3.0,5.8,4.5,16.8,9.49,0.0
11,傈合,辫力,20,4.0,4.0,0.0,30.0,4.0,12.1,8.3,16.3,12.88,0.0
12,傈合,辫力,20,5.0,1.0,0.0,30.2,4.0,13.0,8.9,13.0,14.93,0.0
13,傈合,辫力,20,5.0,2.0,0.0,26.6,3.0,12.5,9.1,12.0,13.68,0.0
14,傈合,辫力,20,5.0,3.0,0.0,20.1,3.0,5.8,4.2,12.0,9.83,0.0
15,傈合,辫力,20,5.0,4.0,0.0,30.2,5.0,14.2,9.7,14.3,14.81,0.0
16,傈合,辫力,20,6.0,1.0,0.0,31.4,4.0,13.1,9.0,13.0,16.42,0.0
17,傈合,辫力,20,6.0,2.0,0.0,26.7,4.0,12.8,8.5,9.6,14.94,0.0
18,傈合,辫力,20,6.0,3.0,0.0,20.0,4.0,6.3,4.8,12.2,11.14,0.0
19,傈合,辫力,20,6.0,4.0,0.0,30.7,5.0,14.4,10.0,14.3,16.14,0.0
20,傈合,辫力,20,7.0,1.0,0.0,32.3,4.0,13.8,10.3,16.0,17.97,0.0
21,傈合,辫力,20,7.0,2.0,0.0,28.0,5.0,12.7,9.2,13.0,16.15,0.0
22,傈合,辫力,20,7.0,3.0,0.0,20.0,5.0,8.8,7.5,7.5,11.79,0.0
