档,矫焙,前格,累扁,丑啊疙,week,炼荤老磊,俺眉锅龋,咀酒 俺荐,咀酒备盒,檬厘,勘荐,勘厘,勘气,勘捍厘,包何流版,拳规锅龋,拳规喊馒苞荐
面合,苛玫,叠扁,1,2,3,2020-10-06,1,0,夯林,24.6,21,7.2,6,9.4,11.15,0,
面合,苛玫,叠扁,1,2,3,2020-10-06,2,0,夯林,40.2,18,8.6,6.3,15.8,12.82,0,
面合,苛玫,叠扁,1,2,3,2020-10-06,3,0,夯林,32.1,18,8.5,6.6,21.1,14.52,0,
面合,苛玫,叠扁,1,2,3,2020-10-06,4,0,夯林,38.8,18,7.5,5.6,9,11.37,0,
面合,苛玫,叠扁,1,2,4,2020-10-13,1,0,夯林,37.4,27,9.3,8,21.5,12.83,0,
面合,苛玫,叠扁,1,2,4,2020-10-13,2,0,夯林,45.6,24,9.1,6.9,29.1,13.02,0,
面合,苛玫,叠扁,1,2,4,2020-10-13,3,0,夯林,46.4,27,10.8,8.2,32.2,10.42,0,
面合,苛玫,叠扁,1,2,4,2020-10-13,4,0,夯林,45.5,24,9,5.8,33.5,11.77,0,
面合,苛玫,叠扁,1,2,5,2020-10-19,1,0,夯林,37.4,30,9,7.9,21.5,14.09,0,
面合,苛玫,叠扁,1,2,5,2020-10-19,2,0,夯林,38.2,30,7.8,6.3,23.3,15.18,0,
面合,苛玫,叠扁,1,2,5,2020-10-19,3,0,夯林,43.4,27,9.1,8.7,16.4,11.27,0,
面合,苛玫,叠扁,1,2,5,2020-10-19,4,0,夯林,42.8,27,7.9,8.3,25.2,13.02,0,
面合,苛玫,叠扁,1,2,6,2020-10-26,1,0,夯林,36.5,24,9.8,8,11.2,14.54,0,
面合,苛玫,叠扁,1,2,6,2020-10-26,2,0,夯林,32.6,21,8.7,6.2,23.5,15.26,0,
面合,苛玫,叠扁,1,2,6,2020-10-26,3,0,夯林,42.2,21,11.2,10.3,13.1,12.67,0,
面合,苛玫,叠扁,1,2,6,2020-10-26,4,0,夯林,44.5,24,10.3,7.2,14.2,13.62,0,
面合,苛玫,叠扁,1,2,7,2020-11-02,1,0,夯林,33.4,15,9.6,8.3,20.6,14.59,0,
面合,苛玫,叠扁,1,2,7,2020-11-02,2,0,夯林,29.9,15,11.6,9.4,17,16.78,0,
面合,苛玫,叠扁,1,2,7,2020-11-02,3,0,夯林,28.7,15,9.2,7.5,15.5,14.47,0,
面合,苛玫,叠扁,1,2,7,2020-11-02,4,0,夯林,26.6,15,9.1,7,16.2,15.59,0,
面合,苛玫,叠扁,1,2,8,2020-11-12,1,0,夯林,30.8,18,13,9,14.7,15.59,0,
面合,苛玫,叠扁,1,2,8,2020-11-12,2,0,夯林,26.1,21,11,8.8,14,16.83,0,
面合,苛玫,叠扁,1,2,8,2020-11-12,3,0,夯林,26,18,11.8,9.8,14.7,15.47,0,
面合,苛玫,叠扁,1,2,8,2020-11-12,4,0,夯林,26.3,15,11,8.6,15,16.63,0,
面合,苛玫,叠扁,1,2,9,2020-11-16,1,1,咀酒,15.8,9,8,7.2,5,10.15,0,
面合,苛玫,叠扁,1,2,9,2020-11-16,1,1,夯林,30.5,21,11.9,9.9,13,18,1,
面合,苛玫,叠扁,1,2,9,2020-11-16,2,0,夯林,27,27,13.2,9.8,16,17.77,1,
面合,苛玫,叠扁,1,2,9,2020-11-16,3,0,夯林,26.8,21,12.4,9.9,15,18.89,1,
面合,苛玫,叠扁,1,2,9,2020-11-16,4,1,咀酒,20.1,9,8.2,6.3,17.5,14.81,0,
面合,苛玫,叠扁,1,2,9,2020-11-16,4,1,夯林,29,18,10.2,8.4,15.8,16.85,1,
面合,苛玫,叠扁,1,2,10,2020-11-23,1,2,夯林,28,24,8.2,7,13,19.93,1,1
面合,苛玫,叠扁,1,2,10,2020-11-23,1,2,咀酒,15.9,9,8.9,8.5,5.3,10.23,1,
面合,苛玫,叠扁,1,2,10,2020-11-23,1,2,咀酒-2,15.3,9,7.3,5.9,11.8,12.32,1,
面合,苛玫,叠扁,1,2,10,2020-11-23,2,0,夯林,34,30,7,5.2,12,18.03,1,1
面合,苛玫,叠扁,1,2,10,2020-11-23,3,0,夯林,29.5,21,9,7.1,12,19.3,1,2
面合,苛玫,叠扁,1,2,10,2020-11-23,4,1,咀酒,20.7,9,11.3,8.8,21,15.3,1,
面合,苛玫,叠扁,1,2,10,2020-11-23,4,1,夯林,31.2,18,8.2,8.3,16,19.53,1,1
面合,苛玫,叠扁,1,2,11,2020-11-30,1,2,咀酒,16.7,12,9.2,8.2,6.4,10.81,1,
面合,苛玫,叠扁,1,2,11,2020-11-30,1,2,夯林,31.8,27,9.6,7.8,15,22.35,1,4
面合,苛玫,叠扁,1,2,11,2020-11-30,1,2,咀酒-2,15.8,9,7.7,6,12,12.22,1,
面合,苛玫,叠扁,1,2,11,2020-11-30,2,1,夯林,34.1,21,10.8,8.3,19,19.04,1,3
面合,苛玫,叠扁,1,2,11,2020-11-30,2,1,咀酒,13.5,9,8.9,6.2,18,11.11,1,
面合,苛玫,叠扁,1,2,11,2020-11-30,3,0,夯林,29.3,21,10.3,7.8,17,19.37,1,6
面合,苛玫,叠扁,1,2,11,2020-11-30,4,1,咀酒,21.8,9,11.2,10.3,5.6,15.93,1,
面合,苛玫,叠扁,1,2,11,2020-11-30,4,1,夯林,32.6,21,11.7,9.8,16.5,20.92,1,6
面合,苛玫,叠扁,1,2,12,2020-12-07,1,2,咀酒,17.2,12,7,5.2,6.4,11.08,1,
面合,苛玫,叠扁,1,2,12,2020-12-07,1,2,夯林,30.6,27,6.2,4.5,11,22.92,1,9
面合,苛玫,叠扁,1,2,12,2020-12-07,1,2,咀酒-2,16.4,9,12.1,10.2,12.1,12.37,1,
面合,苛玫,叠扁,1,2,12,2020-12-07,2,2,夯林,35,24,11.4,8.5,17,20.1,1,7
面合,苛玫,叠扁,1,2,12,2020-12-07,2,2,咀酒,14.7,9,7.5,6,19.2,11.56,1,
面合,苛玫,叠扁,1,2,12,2020-12-07,2,2,咀酒-2,17.3,9,8.3,8,6.2,12.86,1,
面合,苛玫,叠扁,1,2,12,2020-12-07,3,0,夯林,30,18,12.4,10.1,15.3,19.78,1,10
面合,苛玫,叠扁,1,2,12,2020-12-07,4,2,咀酒-2,24.5,9,10.1,8.1,6.3,16.43,1,
面合,苛玫,叠扁,1,2,12,2020-12-07,4,2,咀酒,21.8,9,11.8,10.8,7.8,16.17,1,
面合,苛玫,叠扁,1,2,12,2020-12-07,4,2,夯林,34.1,21,10.4,8,13.5,21.54,1,9
面合,苛玫,叠扁,1,2,13,2020-12-17,1,2,咀酒,18.4,12,8.9,7,4.5,11.97,1,
面合,苛玫,叠扁,1,2,13,2020-12-17,1,2,夯林,32.4,27,10,8.1,15,25.63,1,2
面合,苛玫,叠扁,1,2,13,2020-12-17,1,2,咀酒-2,17.5,9,12.1,9.8,11.1,12.7,1,
面合,苛玫,叠扁,1,2,13,2020-12-17,2,2,咀酒,16.5,9,11.7,10.5,15,12.8,1,
面合,苛玫,叠扁,1,2,13,2020-12-17,2,2,夯林,34.6,24,12.4,9.5,19.3,20.78,1,3
面合,苛玫,叠扁,1,2,13,2020-12-17,2,2,咀酒-2,17.8,9,9.8,8.8,7.3,12.95,1,
面合,苛玫,叠扁,1,2,13,2020-12-17,3,1,夯林,31.9,27,9.5,8.8,16.4,19.86,1,4
面合,苛玫,叠扁,1,2,13,2020-12-17,3,1,咀酒,28.2,9,5.6,3,18,7.6,1,
面合,苛玫,叠扁,1,2,13,2020-12-17,3,1,夯林,31.9,27,9.5,8.8,16.4,19.86,2,
面合,苛玫,叠扁,1,2,13,2020-12-17,4,2,咀酒-2,25.7,9,12.7,10.6,7.5,17.89,1,
面合,苛玫,叠扁,1,2,13,2020-12-17,4,2,咀酒,22.9,12,12.5,11,10.8,16.66,1,
面合,苛玫,叠扁,1,2,13,2020-12-17,4,2,夯林,35.3,24,9.2,6.5,19.5,22.51,1,9
面合,苛玫,叠扁,1,2,14,2020-12-21,1,2,咀酒,18.4,12,8,6.1,8.6,12.32,1,
面合,苛玫,叠扁,1,2,14,2020-12-21,1,2,夯林,33,30,10.1,7.5,19.8,28,1,2
面合,苛玫,叠扁,1,2,14,2020-12-21,1,2,咀酒-2,16.8,12,11.9,10,14.8,13.14,1,
面合,苛玫,叠扁,1,2,14,2020-12-21,2,2,咀酒,15.2,9,10.1,7.7,13.8,13.25,1,
面合,苛玫,叠扁,1,2,14,2020-12-21,2,2,夯林,34.8,27,11.8,9.2,20.6,21,1,3
面合,苛玫,叠扁,1,2,14,2020-12-21,2,2,咀酒-2,18.4,9,10.1,8.9,10.2,13.47,1,
面合,苛玫,叠扁,1,2,14,2020-12-21,3,1,夯林,33.3,24,10.7,8.4,14.8,20.8,1,4
面合,苛玫,叠扁,1,2,14,2020-12-21,3,1,咀酒,30.8,9,6.7,4,17.5,10.41,1,
面合,苛玫,叠扁,1,2,14,2020-12-21,3,1,夯林,33.3,24,10.7,8.4,14.8,20.8,2,1
面合,苛玫,叠扁,1,2,14,2020-12-21,4,2,咀酒-2,26.5,9,12.4,10.6,10.8,17.92,1,
面合,苛玫,叠扁,1,2,14,2020-12-21,4,2,咀酒,22.4,12,12.5,10.9,9.7,16.96,1,
面合,苛玫,叠扁,1,2,14,2020-12-21,4,2,夯林,35.2,24,9.1,6.8,19.2,22.98,1,8
面合,苛玫,叠扁,1,2,14,2020-12-21,4,2,夯林,35.2,24,9.1,6.8,19.2,22.98,2,1
面合,苛玫,叠扁,1,2,15,2020-12-28,1,2,咀酒,18.9,12,8.3,6.4,7.1,13.21,1,1
面合,苛玫,叠扁,1,2,15,2020-12-28,1,2,夯林,33,30,8.1,5.1,18.1,28.23,1,2
面合,苛玫,叠扁,1,2,15,2020-12-28,1,2,夯林,33,30,8.1,5.1,18.1,28.23,2,1
面合,苛玫,叠扁,1,2,15,2020-12-28,1,2,咀酒-2,16.7,12,6.6,3.8,16.2,13.86,1,
面合,苛玫,叠扁,1,2,15,2020-12-28,2,3,咀酒,16.5,10.5,10.65,8.55,12.25,13.92,1,
面合,苛玫,叠扁,1,2,15,2020-12-28,2,3,夯林,36.2,27,11.3,7.7,22.8,21.05,1,3
面合,苛玫,叠扁,1,2,15,2020-12-28,2,3,咀酒-2,18.2,9,9.3,7.8,5.8,13.86,1,
面合,苛玫,叠扁,1,2,15,2020-12-28,2,3,咀酒-3,16.5,9,8.3,7,30.2,12.7,1,
面合,苛玫,叠扁,1,2,15,2020-12-28,3,1,夯林,32.4,24,10.6,8.2,17.4,20.9,1,4
面合,苛玫,叠扁,1,2,15,2020-12-28,3,1,咀酒,31.8,9,8.3,5.1,23,10.45,1,
面合,苛玫,叠扁,1,2,15,2020-12-28,3,1,夯林,32.4,24,10.6,8.2,17.4,20.9,2,5
面合,苛玫,叠扁,1,2,15,2020-12-28,4,2,咀酒-2,25.4,12,13.3,11.2,11.8,18.29,1,
面合,苛玫,叠扁,1,2,15,2020-12-28,4,2,咀酒,22.9,12,10,6.3,15.4,17.96,1,
面合,苛玫,叠扁,1,2,15,2020-12-28,4,2,夯林,35.3,27,8.2,5.5,20.7,22.99,1,9
面合,苛玫,叠扁,1,2,15,2020-12-28,4,2,夯林,35.3,27,8.2,5.5,20.7,22.99,2,3
面合,苛玫,叠扁,1,2,16,2021-01-07,1,2,咀酒,19.2,12,4.5,3.9,10.9,13.89,1,4
面合,苛玫,叠扁,1,2,16,2021-01-07,1,2,咀酒,19.2,12,4.5,3.9,10.9,13.89,2,1
面合,苛玫,叠扁,1,2,16,2021-01-07,1,2,夯林,34.4,30,10.7,8.4,21.2,28.13,1,2
面合,苛玫,叠扁,1,2,16,2021-01-07,1,2,夯林,34.4,30,10.7,8.4,21.2,28.13,2,5
面合,苛玫,叠扁,1,2,16,2021-01-07,1,2,咀酒-2,17.3,12,8.8,7.4,15.6,14.56,1,4
面合,苛玫,叠扁,1,2,16,2021-01-07,2,3,咀酒,17.8,12,11.2,9.4,10.7,14.59,1,3
面合,苛玫,叠扁,1,2,16,2021-01-07,2,3,夯林,36.3,27,10.3,7.5,22.2,24.58,1,1
面合,苛玫,叠扁,1,2,16,2021-01-07,2,3,夯林,36.3,27,10.3,7.5,22.2,24.58,2,1
