id,week,week_start_date,obj_num,flw_get,last_flw_get,height_pl,num_leaf,len_leaf,width_leaf,unit_len,dim_pipe
11,4,2020.10.6 0:00,1,0,,20.8,7,10.3,8.4,7.5,13.3
11,4,2020.10.6 0:00,2,0,,18.4,7,8.7,7.3,6.5,12.31
11,4,2020.10.6 0:00,3,0,,21.2,6,11.6,8.6,7.8,12.56
11,4,2020.10.6 0:00,4,0,,24.6,6,11.4,9.3,9.1,12.88
11,5,2020.10.13 0:00,1,0,0,21.1,6,11.1,8.2,7.9,13.36
11,5,2020.10.13 0:00,2,0,0,19.5,5,10.5,8,6.7,11.9
11,5,2020.10.13 0:00,3,0,0,21,5,10.7,9.6,9.2,13.06
11,5,2020.10.13 0:00,4,0,0,26.1,5,12.8,10.2,12,12.91
11,6,2020.10.20 0:00,1,0,0,20.1,6,11.6,9.2,6.7,13.39
11,6,2020.10.20 0:00,2,0,0,18.9,6,10.8,8.2,6.7,12.67
11,6,2020.10.20 0:00,3,0,0,23.3,6,12.6,9.4,11.2,13.77
11,6,2020.10.20 0:00,4,0,0,27.5,7,12.4,8.7,12.6,14.5
11,7,2020.10.27 0:00,1,1,0,22.9,6,10.4,7.7,6.3,13.58
11,7,2020.10.27 0:00,2,0,0,18.9,6,10.6,8.2,7.8,13.86
11,7,2020.10.27 0:00,3,1,0,25.5,6,13.1,10,11.8,13.91
11,7,2020.10.27 0:00,4,1,0,30.2,8,13.4,9.4,14.6,14.62
11,8,2020.11.3 0:00,1,7,1,24.5,7,10.7,8,7.8,14.65
11,8,2020.11.3 0:00,2,3,0,15.2,7,7.9,6.2,6.4,15.36
11,8,2020.11.3 0:00,3,6,1,29.4,7,13.3,9.7,13.2,14.68
11,8,2020.11.3 0:00,4,4,1,31.2,8,12.9,9.5,15.7,14.82
11,9,2020.11.10 0:00,1,11,7,25.3,7,11.7,8.5,12.3,14.52
11,9,2020.11.10 0:00,2,7,3,18.3,6,8.2,6.1,9.6,15.45
11,9,2020.11.10 0:00,3,7,6,31,7,14.6,9.9,4.4,15.33
11,9,2020.11.10 0:00,4,7,4,35.3,5,13.4,9.8,20.6,14.92
11,10,2020.11.17 0:00,1,12,11,26.1,8,11.7,8.9,11.3,15.16
11,10,2020.11.17 0:00,2,8,7,19.6,6,7.8,6.4,10.5,15.48
11,10,2020.11.17 0:00,3,10,7,30.3,7,14.6,10.2,15.3,16.06
11,10,2020.11.17 0:00,4,11,7,36.7,6,13.6,9.7,15.2,15.18
11,11,2020.11.24 0:00,1,12,12,27.3,8,10.4,7.3,12.5,15.58
11,11,2020.11.24 0:00,2,8,8,20.8,6,8.4,6.1,10.7,15.56
11,11,2020.11.24 0:00,3,11,10,31.3,7,14.3,10.2,15.7,16.12
11,11,2020.11.24 0:00,4,13,11,37.1,7,12.6,8.7,21,15.19
11,12,2020.12.1 0:00,1,10,12,27.6,7,10.2,7.4,16.3,15.61
11,12,2020.12.1 0:00,2,7,8,21.5,6,8.5,6.2,11.1,15.59
11,12,2020.12.1 0:00,3,10,11,31.1,7,14.2,10.5,15.8,16.24
11,12,2020.12.1 0:00,4,10,13,36.6,7,13.3,8.9,18.5,15.2
11,13,2020.12.8 0:00,1,7,10,29.1,8,10.5,7.6,16.3,15.65
11,13,2020.12.8 0:00,2,8,7,22.3,6,8.4,6.3,11.5,15.61
