도,시군,품목,작기,농가명,week,조사일자,개체번호,액아 개수,액아구분,초장,엽수,엽장,엽폭,엽병장,관부직경,화방번호,화방별착과수
충남,부여,딸기,1,11,0.0,2020-09-16,1.0,0.0,본주,32.4,7.0,8.5,6.0,16.6,12.16,0.0,
충남,부여,딸기,1,11,0.0,2020-09-16,2.0,0.0,본주,26.5,7.0,5.1,3.9,3.5,11.19,0.0,
충남,부여,딸기,1,11,0.0,2020-09-16,3.0,0.0,본주,27.5,7.0,8.3,6.9,12.4,12.6,0.0,
충남,부여,딸기,1,11,0.0,2020-09-16,4.0,0.0,본주,31.5,6.0,9.1,5.6,19.8,11.89,0.0,
충남,부여,딸기,1,11,1.0,2020-09-23,1.0,0.0,본주,35.8,8.0,6.6,4.5,7.1,12.58,0.0,
충남,부여,딸기,1,11,1.0,2020-09-23,2.0,0.0,본주,26.8,8.0,5.1,4.0,3.6,11.3,0.0,
충남,부여,딸기,1,11,1.0,2020-09-23,3.0,0.0,본주,29.6,7.0,6.3,4.7,6.9,12.81,0.0,
충남,부여,딸기,1,11,1.0,2020-09-23,4.0,0.0,본주,31.7,7.0,7.2,5.4,12.4,12.64,0.0,
충남,부여,딸기,1,11,2.0,2020-09-29,1.0,0.0,본주,28.1,8.0,7.6,5.3,7.7,13.15,0.0,
충남,부여,딸기,1,11,2.0,2020-09-29,2.0,0.0,본주,23.2,7.0,5.6,4.2,3.9,11.58,0.0,
충남,부여,딸기,1,11,2.0,2020-09-29,3.0,0.0,본주,29.6,6.0,8.3,6.2,6.5,12.35,0.0,
충남,부여,딸기,1,11,2.0,2020-09-29,4.0,0.0,본주,26.8,5.0,7.9,6.7,7.6,12.65,0.0,
충남,부여,딸기,1,11,3.0,2020-10-07,1.0,0.0,본주,21.2,6.0,10.1,7.2,6.9,13.25,0.0,
충남,부여,딸기,1,11,3.0,2020-10-07,2.0,0.0,본주,11.1,5.0,5.9,4.5,4.2,11.76,0.0,
충남,부여,딸기,1,11,3.0,2020-10-07,3.0,0.0,본주,23.9,6.0,9.5,7.0,6.3,12.4,0.0,
충남,부여,딸기,1,11,3.0,2020-10-07,4.0,0.0,본주,26.0,6.0,6.5,5.4,8.8,12.81,0.0,
충남,부여,딸기,1,11,4.0,2020-10-14,1.0,0.0,본주,20.8,7.0,10.3,8.4,7.5,13.3,0.0,
충남,부여,딸기,1,11,4.0,2020-10-14,2.0,0.0,본주,18.4,7.0,8.7,7.3,6.5,12.31,0.0,
충남,부여,딸기,1,11,4.0,2020-10-14,3.0,0.0,본주,21.2,6.0,11.6,8.6,7.8,12.56,0.0,
충남,부여,딸기,1,11,4.0,2020-10-14,4.0,0.0,본주,24.6,6.0,11.4,9.3,9.1,12.88,0.0,
충남,부여,딸기,1,11,5.0,2020-10-21,1.0,0.0,본주,21.1,6.0,11.1,8.2,7.9,13.36,0.0,
충남,부여,딸기,1,11,5.0,2020-10-21,2.0,0.0,본주,19.5,5.0,10.5,8.0,6.7,11.9,0.0,
충남,부여,딸기,1,11,5.0,2020-10-21,3.0,0.0,본주,21.0,5.0,10.7,9.6,9.2,13.06,0.0,
충남,부여,딸기,1,11,5.0,2020-10-21,4.0,0.0,본주,26.1,5.0,12.8,10.2,12.0,12.91,0.0,
충남,부여,딸기,1,11,6.0,2020-10-28,1.0,0.0,본주,20.1,6.0,11.6,9.2,6.7,13.39,1.0,
충남,부여,딸기,1,11,6.0,2020-10-28,2.0,0.0,본주,18.9,6.0,10.8,8.2,6.7,12.67,0.0,
충남,부여,딸기,1,11,6.0,2020-10-28,3.0,0.0,본주,23.3,6.0,12.6,9.4,11.2,13.77,1.0,
충남,부여,딸기,1,11,6.0,2020-10-28,4.0,0.0,본주,27.5,7.0,12.4,8.7,12.6,14.5,1.0,
충남,부여,딸기,1,11,7.0,2020-11-04,1.0,0.0,본주,22.9,6.0,10.4,7.7,6.3,13.58,1.0,1.0
충남,부여,딸기,1,11,7.0,2020-11-04,2.0,0.0,본주,18.9,6.0,10.6,8.2,7.8,13.86,1.0,
충남,부여,딸기,1,11,7.0,2020-11-04,3.0,0.0,본주,25.5,6.0,13.1,10.0,11.8,13.91,1.0,1.0
충남,부여,딸기,1,11,7.0,2020-11-04,4.0,0.0,본주,30.2,8.0,13.4,9.4,14.6,14.62,1.0,1.0
충남,부여,딸기,1,11,8.0,2020-11-11,1.0,0.0,본주,24.5,7.0,10.7,8.0,7.8,14.65,1.0,7.0
충남,부여,딸기,1,11,8.0,2020-11-11,2.0,0.0,본주,15.2,7.0,7.9,6.2,6.4,15.36,1.0,3.0
충남,부여,딸기,1,11,8.0,2020-11-11,3.0,0.0,본주,29.4,7.0,13.3,9.7,13.2,14.68,1.0,6.0
충남,부여,딸기,1,11,8.0,2020-11-11,4.0,0.0,본주,31.2,8.0,12.9,9.5,15.7,14.82,1.0,4.0
충남,부여,딸기,1,11,9.0,2020-11-18,1.0,0.0,본주,25.3,7.0,11.7,8.5,12.3,14.52,1.0,11.0
충남,부여,딸기,1,11,9.0,2020-11-18,2.0,0.0,본주,18.3,6.0,8.2,6.1,9.6,15.45,1.0,7.0
충남,부여,딸기,1,11,9.0,2020-11-18,3.0,0.0,본주,31.0,7.0,14.6,9.9,4.4,15.33,1.0,7.0
충남,부여,딸기,1,11,9.0,2020-11-18,4.0,0.0,본주,35.3,5.0,13.4,9.8,20.6,14.92,1.0,7.0
충남,부여,딸기,1,11,10.0,2020-11-25,1.0,0.0,본주,26.1,8.0,11.7,8.9,11.3,15.16,1.0,12.0
충남,부여,딸기,1,11,10.0,2020-11-25,2.0,0.0,본주,19.6,6.0,7.8,6.4,10.5,15.48,1.0,8.0
