³ó°¡¸í,week,°³Ã¼¹øÈ£,ÃÊÀå,¿±¼ö,¿±Àå,¿±Æø,¿±º´Àå,°üºÎÁ÷°æ,È­¹æº°Âø°ú¼ö
11,4,1,20.8,7,10.3,8.4,7.5,13.3,0
11,4,2,18.4,7,8.7,7.3,6.5,12.31,0
11,4,3,21.2,6,11.6,8.6,7.8,12.56,0
11,4,4,24.6,6,11.4,9.3,9.1,12.88,0
11,5,1,21.1,6,11.1,8.2,7.9,13.36,0
11,5,2,19.5,5,10.5,8,6.7,11.9,0
11,5,3,21,5,10.7,9.6,9.2,13.06,0
11,5,4,26.1,5,12.8,10.2,12,12.91,0
11,6,1,20.1,6,11.6,9.2,6.7,13.39,0
11,6,2,18.9,6,10.8,8.2,6.7,12.67,0
11,6,3,23.3,6,12.6,9.4,11.2,13.77,0
11,6,4,27.5,7,12.4,8.7,12.6,14.5,0
11,7,1,22.9,6,10.4,7.7,6.3,13.58,1
11,7,2,18.9,6,10.6,8.2,7.8,13.86,0
11,7,3,25.5,6,13.1,10,11.8,13.91,1
11,7,4,30.2,8,13.4,9.4,14.6,14.62,1
11,8,1,24.5,7,10.7,8,7.8,14.65,7
11,8,2,15.2,7,7.9,6.2,6.4,15.36,3
11,8,3,29.4,7,13.3,9.7,13.2,14.68,6
11,8,4,31.2,8,12.9,9.5,15.7,14.82,4
11,9,1,25.3,7,11.7,8.5,12.3,14.52,11
11,9,2,18.3,6,8.2,6.1,9.6,15.45,7
11,9,3,31,7,14.6,9.9,4.4,15.33,7
11,9,4,35.3,5,13.4,9.8,20.6,14.92,7
11,10,1,26.1,8,11.7,8.9,11.3,15.16,12
11,10,2,19.6,6,7.8,6.4,10.5,15.48,8
11,10,3,30.3,7,14.6,10.2,15.3,16.06,10
11,10,4,36.7,6,13.6,9.7,15.2,15.18,11
11,11,1,27.3,8,10.4,7.3,12.5,15.58,12
11,11,2,20.8,6,8.4,6.1,10.7,15.56,8
11,11,3,31.3,7,14.3,10.2,15.7,16.12,11
11,11,4,37.1,7,12.6,8.7,21,15.19,13
11,12,1,27.6,7,10.2,7.4,16.3,15.61,10
11,12,2,21.5,6,8.5,6.2,11.1,15.59,7
11,12,3,31.1,7,14.2,10.5,15.8,16.24,10
11,12,4,36.6,7,13.3,8.9,18.5,15.2,10
11,13,1,29.1,8,10.5,7.6,16.3,15.65,7
11,13,2,22.3,6,8.4,6.3,11.5,15.61,8
11,13,3,30.5,8,14.6,10.8,15.3,16.35,8
11,13,4,30.1,7,9.4,7.1,21.4,15.47,8
11,14,1,28.5,8,10.2,7.4,15.6,15.71,5
11,14,2,20.1,6,8.8,6.2,11.4,15.77,10
11,14,3,28.3,8,9,8.3,15.8,16.61,11
11,14,4,39.6,8,13.9,10.3,21.8,15.56,8
11,15,1,28.5,6,10.3,7.2,16.7,15.8,5
11,15,2,21.6,7,8.6,6.2,11.8,15.82,11
11,15,3,30.4,8,9.8,8.3,16.3,16.67,12
11,15,4,34.2,10,14.2,8.9,18.5,15.58,8
11,16,1,31,9,8.4,6.3,15.2,15.21,7
11,16,2,24,7,6.4,4.4,12,15.04,12
11,16,3,34.2,8,8.9,6.8,17,16.84,11
11,16,4,40.5,12,8.9,8,23.4,16.28,7
11,17,1,29.7,11,8.4,6.5,14.5,15.46,8
11,17,2,23,6,6.5,4.5,12,13.27,12
11,17,3,34.5,8,6.5,5.5,15.5,19.25,10
11,17,4,41.2,13,9,7.5,18.5,16.49,9
11,18,1,31,10,7,5.5,11,15.55,9
11,18,2,23.3,6,6.5,4.3,11.8,14.03,12
11,18,3,35,9,9.2,6.7,16,19.76,5
11,18,4,41.5,11,7.5,6.3,17,16.48,11
11,19,1,30.5,13,6.7,5.7,11,14.53,9
11,19,2,23,6,6.5,4.5,11.5,12.72,9
11,19,3,35,11,9,6.5,16,18.5,5
11,19,4,41,12,9,8,20,16.9,11
11,20,1,31.5,13,7,5.8,11.2,14.83,11
11,20,2,23,6,6.5,4.5,11.5,12.55,11
11,20,3,36.5,11,8.5,6,4,17.61,6
11,20,4,40.3,13,9.4,8,20,15.4,13
11,21,1,32,16,7,5.7,10.5,15,10
11,21,2,21,6,6.8,4.5,11.5,14.19,7
11,21,3,35,12,8.5,6,14.5,18.07,9
11,21,4,42,16,7.5,6,12,16.01,7
11,22,1,32,18,7.2,5.6,11.3,14.78,11
11,22,2,22,6,4.3,3.5,6,13.74,11
11,22,3,35.3,13,7.7,6.5,10.5,17.47,9
11,22,4,41.2,19,7.2,6,12.3,15.95,13
11,23,1,32,20,7.2,6,11,16.51,12
11,23,2,22,6,4,3.5,6,14.61,12
11,23,3,35.3,15,7.6,6.5,13,20.56,8
11,23,4,42,21,7.8,6,11,21.29,13
11,24,1,31.5,18,7.2,5.7,11.5,15.94,11
11,24,2,21,4,4.3,3.5,6,14.1,11
11,24,3,30.5,14,7.8,6.7,14.2,19.53,11
11,24,4,39.5,24,8.5,6,16.5,20.59,17
11,25,1,31,20,8,7,13.5,16.61,11
11,25,2,20.2,5,4.5,3.5,6,14.12,7
11,25,3,31,14,8,6.7,14.5,20.26,11
11,25,4,37,23,8.7,6.7,17.5,20.21,13
11,26,1,31.3,21,8,7,13.2,15.9,15
11,26,2,20.2,4,4.2,3.5,7,14.06,3
11,26,3,34,16,8,6.7,14.2,19.29,13
11,26,4,36.5,25,6.5,4.8,14,21.94,13
11,27,1,31.2,22,8.3,6.7,14,16.55,17
11,27,2,20.2,4,4.3,3.5,6.3,12.59,3
11,27,3,36,16,8,7.7,15,18.79,13
11,27,4,35.5,21,9,7,18,18.79,8
11,28,1,31.5,23,7.5,6.3,14,15.53,16
11,28,2,19.5,4,3.5,2.8,7,14.17,2
11,28,3,40.5,15,8,7,15,18.76,11
11,28,4,35.5,22,8.8,7,18,19.1,9
11,29,1,31,22,8.6,7,14.2,15.37,13
11,29,2,19.5,4,3.5,2.8,7,14.17,2
11,29,3,42,16,8,6.5,17.5,19.33,12
11,29,4,35.5,24,8,6.4,15,15.93,21
11,30,1,31,22,8.6,7,15,15.54,12
11,30,2,19.5,4,3.5,2.8,7,14.17,2
11,30,3,44.5,15,8,7,17.5,20.02,7
11,30,4,35.8,27,8,6.3,15,19.14,18
16,4,1,18,5,8.5,6.5,8,13,0
16,4,2,16,4,7.5,5.5,7,14.4,0
16,4,3,16,4,8,6,7,10.2,0
16,4,4,22,4,7.5,6,6,11.3,0
16,5,1,20,4,10,8,8,14.3,0
16,5,2,20,4,8,6.5,7,15,0
16,5,3,19,4,8,6,9,12.3,0
16,5,4,18,5,8,6,7,12.1,0
16,6,1,22,4,11,9,9,15.2,0
16,6,2,23,4,9,8,9,15.5,0
16,6,3,23,5,8,6,9,14.3,0
16,6,4,21,5,10,9,10,13.6,0
16,7,1,22,5,11,10,8,15.8,0
16,7,2,26,5,11,9,10,16,0
16,7,3,26,5,10,8,11,15.1,0
16,7,4,26,6,10,9,8,14.3,0
16,8,1,25,6,10,8,14,16.7,3
16,8,2,29,5,12,10,13,17.8,2
16,8,3,29,6,12,10,13,16.7,1
16,8,4,27,8,10,9,14,16.1,2
16,9,1,28,7,10.5,9,15,20.2,6
16,9,2,31,6,11,9,15.5,20.5,3
16,9,3,31,6,10.5,9,17.5,16.2,4
16,9,4,31,10,10,8.5,18,25.9,3
16,10,1,30,8,10,8,16,23.1,10
16,10,2,32,6,12,9,15,20.7,7
16,10,3,32,6,11,8,18,17.7,8
16,10,4,32,12,8,6,16,26.7,6
16,11,1,32,7,10,8,16,23.7,12
16,11,2,34,7,11,9,20,21.4,7
16,11,3,31,7,9,8,19,17.8,8
16,11,4,33,13,10,8,16,26.8,6
16,12,1,32,7,11,8,19,24.6,11
16,12,2,34,7,12,10,18,22.7,7
16,12,3,30,7,9,8,19,20.1,8
16,12,4,32,14,12,9,19,20.7,6
16,13,1,31,5,11,8,19,15.8,11
16,13,2,34,5,12,10,18,17.4,7
16,13,3,31,5,9,8,19,18.5,8
16,13,4,33,9,10,8,20,16.3,7
16,14,1,32,5,11,8,20,16.1,9
16,14,2,34,5,12,10,19,18.2,6
16,14,3,32,5,9,8,20,18.8,7
16,14,4,32,9,10,8,21,16.7,5
16,15,1,33,6,10,8,19,16.8,8
16,15,2,35,8,11,9,18,18.9,4
16,15,3,32,6,10,8,20,19.3,7
16,15,4,32,10,10,8,22,17.3,3
16,16,1,33,6,10,8,20,17.4,6
16,16,2,33,8,11,9,19,19.3,5
16,16,3,32,6,10,8,22,19.7,4
16,16,4,32,11,9,7,16,18,4
16,17,1,34,7,11.5,8.5,20,13.69,6
16,17,2,33.4,8,7.3,5.7,14,20.3,6
16,17,3,31.3,6,7.5,5.5,14,16.75,4
16,17,4,35,12,9,7,17.5,31.47,6
16,18,1,34,7,11.5,8.5,20,15.4,5
16,18,2,35.5,10,7,5.5,15,24.9,4
16,18,3,31,7,7.5,5.5,13,18.5,5
16,18,4,34,12,6.5,6.5,12,15.92,6
16,19,1,33,7,11,8.5,20,18.08,8
16,19,2,35,11,7.2,6,14.5,21.18,4
16,19,3,32,9,6,5,13,19.09,2
16,19,4,35,14,7.4,6.5,12,15.61,4
16,20,1,33.5,8,6.5,4.5,10,23.42,8
16,20,2,32,11,6.5,5.5,15,20.52,3
16,20,3,29,8,6.2,5,13.5,21.98,5
16,20,4,31,12,7,6,13,19.62,8
16,21,1,34.5,8,7,4.5,11.5,23.7,8
16,21,2,34,13,6,5.5,12.5,20.89,5
16,21,3,29.5,11,6.8,5.2,14,20.89,3
16,21,4,34,19,7.5,6.5,13,21.5,14
16,22,1,32,9,7,4.8,11.5,24.51,8
16,22,2,33,12,7,6,14,20.35,9
16,22,3,23,14,6.5,5,14.5,29.7,10
16,22,4,30.5,20,7.5,6.5,14.5,20.1,22
