농가명,week,week_start_date,온도_외부_max,온도_외부_min,온도_외부_mean,온도_내부_max,온도_내부_min,온도_내부_mean,상대습도_내부_max,상대습도_내부_min,상대습도_내부_mean,잔존CO2_max,잔존CO2_min,잔존CO2_mean,토양온도_max,토양온도_min,토양온도_mean
2,1,2020-09-15 0:00,27.3,4.6,17.31458333,30.5,7,19.82291667,98.5,50.7,87.15208333,437,338,381.4652778,23.3,16.1,20.025
2,2,2020-09-22 0:00,26.2,4.2,16.74404762,31,11.4,19.58095238,98.3,53.5,83.83095238,442,337,385.9166667,21.5,17,19.43571429
2,3,2020-09-29 0:00,26.4,3.5,14.39281437,30.7,7,17.1502994,98.4,45.2,79.63772455,457,346,384.7724551,30.7,7,18.31377246
2,4,2020-10-06 0:00,24.7,5.6,15.88809524,30.2,7,18.21785714,98.4,43.9,78.3077381,442,336,382.5952381,19.8,14.7,18.01666667
2,5,2020-10-13 0:00,23.9,1,10.37857143,28.4,4.5,14.03035714,98.1,37.2,81.77083333,683,354,446.7678571,19.3,12,14.97440476
2,6,2020-10-20 0:00,23.6,0.6,10.54107143,28.2,8,15.38095238,98.3,40.3,83.66845238,727,347,474.125,17.3,13.7,15.52261905
2,7,2020-10-27 0:00,22.5,-0.4,10.0297619,29.1,10.2,16.43928571,98.3,43.1,86.23809524,1378,341,555.2576687,18.1,14.6,16.56964286
2,8,2020-11-03 0:00,21.3,-3,7.345238095,29.1,11,17.01845238,98.2,39.4,84.62797619,1243,317,576.4363636,18.4,15.1,16.87261905
2,9,2020-11-10 0:00,21.5,-3.5,7.354761905,32.5,12.6,18.14107143,98.2,51.2,86.1875,1252,318,640.1233766,19,16.2,17.77321429
2,10,2020-11-17 0:00,21.6,-1.4,10.41428571,27.5,12.7,17.0577381,98.5,62.5,94.96190476,1392,325,610.2457627,18.5,15.3,17.20714286
2,11,2020-11-24 0:00,13.9,-6.5,3.485714286,28.3,11.5,16.2172619,98.2,60.9,92.34251497,1307,289,731.6412214,17.5,14.6,16.13333333
2,12,2020-12-01 0:00,10.7,-8.1,0.741071429,31.2,11.3,15.8547619,98.1,68,93.83928571,1322,282,734.1712329,17.3,14.6,16.00357143
2,13,2020-12-08 0:00,11.8,-8.4,1.476785714,31.9,11.1,16.01011905,98.3,77.4,94.4577381,1365,239,804.4049587,17.8,13.8,16.0297619
2,14,2020-12-15 0:00,7.2,-10.7,-2.867261905,27.7,10.3,15.29583333,98.2,74.4,93.72083333,1397,301,798.9237288,17,13.5,15.27321429
2,15,2020-12-22 0:00,13.2,-6.3,1.614880952,28,11.1,15.3297619,98.2,74.7,95.03214286,1395,273,837.7681159,16.8,13.8,15.31190476
2,16,2020-12-29 0:00,10.1,-13.5,-3.823214286,28.1,9.9,15.09107143,98.1,73.9,94.88095238,1392,279,805.0967742,16.6,13.5,15.12857143
