realTime,name,do,city,item,cul_time,Measure_time,temp_ex,s_am,as_am,temp_int,hum_int,CO2,st
2020.9.8 0:00,23,傈合,辫力,叠扁,1,2020.9.8 0:00,,0.0,0.0,,,,
2020.9.8 1:00,23,傈合,辫力,叠扁,1,2020.9.8 1:00,,0.0,0.0,,,,
2020.9.8 2:00,23,傈合,辫力,叠扁,1,2020.9.8 2:00,,0.0,0.0,,,,
2020.9.8 3:00,23,傈合,辫力,叠扁,1,2020.9.8 3:00,,0.0,0.0,,,,
2020.9.8 4:00,23,傈合,辫力,叠扁,1,2020.9.8 4:00,,0.0,0.0,,,,
2020.9.8 5:00,23,傈合,辫力,叠扁,1,2020.9.8 5:00,,0.0,0.0,,,,
2020.9.8 6:00,23,傈合,辫力,叠扁,1,2020.9.8 6:00,,0.0,0.0,,,,
2020.9.8 7:00,23,傈合,辫力,叠扁,1,2020.9.8 7:00,,0.0,0.0,,,,
2020.9.8 8:00,23,傈合,辫力,叠扁,1,2020.9.8 8:00,,0.0,0.0,,,,
2020.9.8 9:00,23,傈合,辫力,叠扁,1,2020.9.8 9:00,,0.0,0.0,,,,
2020.9.8 10:00,23,傈合,辫力,叠扁,1,2020.9.8 10:00,,0.0,0.0,,,,
2020.9.8 11:00,23,傈合,辫力,叠扁,1,2020.9.8 11:00,,0.0,0.0,,,,
2020.9.8 12:00,23,傈合,辫力,叠扁,1,2020.9.8 12:00,,0.0,0.0,,,,
2020.9.8 13:00,23,傈合,辫力,叠扁,1,2020.9.8 13:00,,0.0,0.0,,,,
2020.9.8 14:00,23,傈合,辫力,叠扁,1,2020.9.8 14:00,,0.0,0.0,,,,
2020.9.8 15:00,23,傈合,辫力,叠扁,1,2020.9.8 15:00,,0.0,0.0,,,,
2020.9.8 16:00,23,傈合,辫力,叠扁,1,2020.9.8 16:00,,0.0,0.0,,,,
2020.9.8 17:00,23,傈合,辫力,叠扁,1,2020.9.8 17:00,,0.0,0.0,,,,
2020.9.8 18:00,23,傈合,辫力,叠扁,1,2020.9.8 18:00,,0.0,0.0,,,,
2020.9.8 19:00,23,傈合,辫力,叠扁,1,2020.9.8 19:00,,0.0,0.0,,,,
2020.9.8 20:00,23,傈合,辫力,叠扁,1,2020.9.8 20:00,,0.0,0.0,,,,
2020.9.8 21:00,23,傈合,辫力,叠扁,1,2020.9.8 21:00,,0.0,0.0,,,,
2020.9.8 22:00,23,傈合,辫力,叠扁,1,2020.9.8 22:00,,0.0,0.0,,,,
2020.9.8 23:00,23,傈合,辫力,叠扁,1,2020.9.8 23:00,,0.0,0.0,,,,
2020.9.9 0:00,23,傈合,辫力,叠扁,1,2020.9.9 0:00,,0.0,0.0,,,,
2020.9.9 1:00,23,傈合,辫力,叠扁,1,2020.9.9 1:00,,0.0,0.0,,,,
2020.9.9 2:00,23,傈合,辫力,叠扁,1,2020.9.9 2:00,,0.0,0.0,,,,
2020.9.9 3:00,23,傈合,辫力,叠扁,1,2020.9.9 3:00,,0.0,0.0,,,,
2020.9.9 4:00,23,傈合,辫力,叠扁,1,2020.9.9 4:00,,0.0,0.0,,,,
2020.9.9 5:00,23,傈合,辫力,叠扁,1,2020.9.9 5:00,,0.0,0.0,,,,
2020.9.9 6:00,23,傈合,辫力,叠扁,1,2020.9.9 6:00,,0.0,0.0,,,,
2020.9.9 7:00,23,傈合,辫力,叠扁,1,2020.9.9 7:00,,0.0,0.0,,,,
2020.9.9 8:00,23,傈合,辫力,叠扁,1,2020.9.9 8:00,,0.0,0.0,,,,
2020.9.9 9:00,23,傈合,辫力,叠扁,1,2020.9.9 9:00,,0.0,0.0,,,,
2020.9.9 10:00,23,傈合,辫力,叠扁,1,2020.9.9 10:00,,0.0,0.0,,,,
2020.9.9 11:00,23,傈合,辫力,叠扁,1,2020.9.9 11:00,,0.0,0.0,,,,
2020.9.9 12:00,23,傈合,辫力,叠扁,1,2020.9.9 12:00,,0.0,0.0,,,,
2020.9.9 13:00,23,傈合,辫力,叠扁,1,2020.9.9 13:00,,0.0,0.0,,,,
2020.9.9 14:00,23,傈合,辫力,叠扁,1,2020.9.9 14:00,,0.0,0.0,,,,
2020.9.9 15:00,23,傈合,辫力,叠扁,1,2020.9.9 15:00,,0.0,0.0,,,,
2020.9.9 16:00,23,傈合,辫力,叠扁,1,2020.9.9 16:00,,0.0,0.0,,,,
2020.9.9 17:00,23,傈合,辫力,叠扁,1,2020.9.9 17:00,,0.0,0.0,,,,
2020.9.9 18:00,23,傈合,辫力,叠扁,1,2020.9.9 18:00,,0.0,0.0,,,,
2020.9.9 19:00,23,傈合,辫力,叠扁,1,2020.9.9 19:00,,0.0,0.0,,,,
2020.9.9 20:00,23,傈合,辫力,叠扁,1,2020.9.9 20:00,,0.0,0.0,,,,
2020.9.9 21:00,23,傈合,辫力,叠扁,1,2020.9.9 21:00,,0.0,0.0,,,,
2020.9.9 22:00,23,傈合,辫力,叠扁,1,2020.9.9 22:00,,0.0,0.0,,,,
2020.9.9 23:00,23,傈合,辫力,叠扁,1,2020.9.9 23:00,,0.0,0.0,,,,
2020.9.10 0:00,23,傈合,辫力,叠扁,1,2020.9.10 0:00,,0.0,0.0,,,,
2020.9.10 1:00,23,傈合,辫力,叠扁,1,2020.9.10 1:00,,0.0,0.0,,,,
2020.9.10 2:00,23,傈合,辫力,叠扁,1,2020.9.10 2:00,,0.0,0.0,,,,
2020.9.10 3:00,23,傈合,辫力,叠扁,1,2020.9.10 3:00,,0.0,0.0,,,,
2020.9.10 4:00,23,傈合,辫力,叠扁,1,2020.9.10 4:00,,0.0,0.0,,,,
2020.9.10 5:00,23,傈合,辫力,叠扁,1,2020.9.10 5:00,,0.0,0.0,,,,
2020.9.10 6:00,23,傈合,辫力,叠扁,1,2020.9.10 6:00,,0.0,0.0,,,,
2020.9.10 7:00,23,傈合,辫力,叠扁,1,2020.9.10 7:00,,0.0,0.0,,,,
2020.9.10 8:00,23,傈合,辫力,叠扁,1,2020.9.10 8:00,,0.0,0.0,,,,
2020.9.10 9:00,23,傈合,辫力,叠扁,1,2020.9.10 9:00,,0.0,0.0,,,,
2020.9.10 10:00,23,傈合,辫力,叠扁,1,2020.9.10 10:00,,0.0,0.0,,,,
2020.9.10 11:00,23,傈合,辫力,叠扁,1,2020.9.10 11:00,,0.0,0.0,,,,
2020.9.10 12:00,23,傈合,辫力,叠扁,1,2020.9.10 12:00,,0.0,0.0,,,,
2020.9.10 13:00,23,傈合,辫力,叠扁,1,2020.9.10 13:00,,0.0,0.0,,,,
2020.9.10 14:00,23,傈合,辫力,叠扁,1,2020.9.10 14:00,,0.0,0.0,,,,
2020.9.10 15:00,23,傈合,辫力,叠扁,1,2020.9.10 15:00,,0.0,0.0,,,,
2020.9.10 16:00,23,傈合,辫力,叠扁,1,2020.9.10 16:00,,0.0,0.0,,,,
2020.9.10 17:00,23,傈合,辫力,叠扁,1,2020.9.10 17:00,,0.0,0.0,,,,
2020.9.10 18:00,23,傈合,辫力,叠扁,1,2020.9.10 18:00,,0.0,0.0,,,,
2020.9.10 19:00,23,傈合,辫力,叠扁,1,2020.9.10 19:00,,0.0,0.0,,,,
2020.9.10 20:00,23,傈合,辫力,叠扁,1,2020.9.10 20:00,,0.0,0.0,,,,
2020.9.10 21:00,23,傈合,辫力,叠扁,1,2020.9.10 21:00,,0.0,0.0,,,,
2020.9.10 22:00,23,傈合,辫力,叠扁,1,2020.9.10 22:00,,0.0,0.0,,,,
2020.9.10 23:00,23,傈合,辫力,叠扁,1,2020.9.10 23:00,,0.0,0.0,,,,
2020.9.11 0:00,23,傈合,辫力,叠扁,1,2020.9.11 0:00,,0.0,0.0,,,,
2020.9.11 1:00,23,傈合,辫力,叠扁,1,2020.9.11 1:00,,0.0,0.0,,,,
2020.9.11 2:00,23,傈合,辫力,叠扁,1,2020.9.11 2:00,,0.0,0.0,,,,
2020.9.11 3:00,23,傈合,辫力,叠扁,1,2020.9.11 3:00,,0.0,0.0,,,,
2020.9.11 4:00,23,傈合,辫力,叠扁,1,2020.9.11 4:00,,0.0,0.0,,,,
2020.9.11 5:00,23,傈合,辫力,叠扁,1,2020.9.11 5:00,,0.0,0.0,,,,
2020.9.11 6:00,23,傈合,辫力,叠扁,1,2020.9.11 6:00,,0.0,0.0,,,,
