id,date,temp_ex_max,temp_ex_min,temp_ex_mean,s_am_max,s_am_min,s_am_mean,temp_int_max,temp_int_min,temp_int_mean,hum_int_max,hum_int_min,hum_int_mean,CO2_max,CO2_min,CO2_mean,st_max,st_min,st_mean
11,2020.9.15 0:00,29.2,16.6,22.754166666666674,2.53,0.03,0.725,29.4,18.0,23.17083333333333,99.0,42.0,75.79166666666667,841.0,458.0,534.3125,15.83184067,15.83184067,15.831840670000004
11,2020.9.16 0:00,23.9,19.5,21.545833333333338,1.07,0.01,0.2266666666666667,25.7,20.6,22.762500000000003,99.0,60.0,82.33333333333333,738.0,470.0,539.5,15.83184067,15.83184067,15.831840670000004
11,2020.9.17 0:00,24.4,19.6,21.76666666666667,1.35,0.02,0.325,26.8,20.4,22.812499999999996,100.0,67.0,88.16666666666667,573.0,466.0,517.9583333333334,15.83184067,15.83184067,15.831840670000004
11,2020.9.18 0:00,26.1,14.1,20.474999999999998,3.11,0.01,0.8070833333333334,26.4,15.9,21.020833333333332,99.0,35.0,69.58333333333333,561.0,532.8604651,547.0998062083333,15.83184067,15.83184067,15.831840670000004
11,2020.9.19 0:00,26.0,12.5,18.4625,2.38,0.03,0.6900000000000001,28.9,14.3,20.529166666666665,92.0,31.0,63.916666666666664,531.5813953,502.1627907,516.8720930166668,15.83184067,15.83184067,15.831840670000004
11,2020.9.20 0:00,26.7,11.4,17.825,2.86,0.02,0.8683333333333332,29.7,14.1,20.64166666666667,93.0,26.0,66.33333333333333,500.8837209,471.4651163,486.1744186083334,15.83184067,15.83184067,15.831840670000004
11,2020.9.21 0:00,25.8,9.9,17.183333333333334,2.84,0.02,0.7620833333333333,26.1,16.4,20.591666666666665,78.0,28.0,55.125,589.0,449.0,477.33284883333334,15.83184067,15.83184067,15.831840670000004
11,2020.9.22 0:00,25.0,12.4,18.316666666666666,2.85,0.02,0.7541666666666668,20.8,19.2,19.796780302916666,85.0,26.0,61.25,695.0,453.0,554.75,15.83184067,15.83184067,15.831840670000004
11,2020.9.23 0:00,23.2,13.9,18.92083333333333,2.56,0.01,0.5570833333333333,20.6,18.8,20.22196969708333,83.0,25.0,57.541666666666664,1330.0,428.0,522.125,15.83184067,15.83184067,15.831840670000004
11,2020.9.24 0:00,26.1,15.3,20.65416666666667,2.63,0.01,0.7308333333333333,39.5,16.4,22.941666666666666,88.0,14.0,52.166666666666664,592.0,429.0,476.75,15.83184067,15.83184067,15.831840670000004
11,2020.9.25 0:00,25.7,13.6,20.204166666666666,2.74,0.03,0.75625,29.1,17.0,21.974999999999998,86.0,20.0,58.458333333333336,1111.0,433.0,529.25,15.83184067,15.83184067,15.831840670000004
11,2020.9.26 0:00,26.0,15.3,19.8375,2.87,0.01,0.8254166666666668,26.5,16.9,22.844871054999995,92.0,16.0,58.291666666666664,567.0,437.0,481.9791666666667,15.83184067,15.83184067,15.831840670000004
