도,시군,품목,작기,농가명,조사일자,개체번호,초장,엽수,분지수,엽장,엽폭,줄기중앙직경,개화시
경기,이천,국화,1,001,2020-01-30,1,19.4,14,,6.6,3.8,3.90,
경기,이천,국화,1,001,2020-01-30,2,20.3,14,,7.7,4.2,4.60,
경기,이천,국화,1,001,2020-01-30,3,19.2,12,,7.0,3.3,4.50,
경기,이천,국화,1,001,2020-01-30,4,19.3,13,,7.2,4.2,4.50,
경기,이천,국화,1,001,2020-02-06,1,26.6,17,,7.6,4.6,4.30,
경기,이천,국화,1,001,2020-02-06,2,28.6,17,,8.5,5.0,5.20,
경기,이천,국화,1,001,2020-02-06,3,27.7,15,,7.9,4.4,4.50,
경기,이천,국화,1,001,2020-02-06,4,28.5,18,,8.4,4.3,4.70,
경기,이천,국화,1,001,2020-02-13,1,37.2,21,,8.8,4.6,4.70,
경기,이천,국화,1,001,2020-02-13,2,39.5,22,,9.0,5.2,4.90,
경기,이천,국화,1,001,2020-02-13,3,37.4,19,,8.6,4.7,4.60,
경기,이천,국화,1,001,2020-02-13,4,38.0,21,,8.4,5.0,4.50,
경기,이천,국화,1,001,2020-02-20,1,47.4,23,,9.2,4.9,5.20,
경기,이천,국화,1,001,2020-02-20,2,50.8,25,,9.9,5.5,5.40,
경기,이천,국화,1,001,2020-02-20,3,46.7,22,,8.7,4.8,4.70,
경기,이천,국화,1,001,2020-02-20,4,48.6,25,,10.1,5.2,5.20,
경기,이천,국화,1,001,2020-02-27,1,58.3,29,,10.1,6.0,5.30,
경기,이천,국화,1,001,2020-02-27,2,61.6,30,,11.6,7.0,5.70,
경기,이천,국화,1,001,2020-02-27,3,56.3,27,,9.1,5.3,5.20,
경기,이천,국화,1,001,2020-02-27,4,57.8,28,,10.4,5.8,5.20,
경기,이천,국화,1,001,2020-03-05,1,65.3,33,,10.2,6.4,5.30,
경기,이천,국화,1,001,2020-03-05,2,69.1,34,,11.6,7.1,5.80,
경기,이천,국화,1,001,2020-03-05,3,63.2,31,,9.3,5.3,5.20,
경기,이천,국화,1,001,2020-03-05,4,65.0,33,,10.5,5.8,5.50,
경기,이천,국화,1,001,2020-03-12,1,73.2,38,,10.5,5.2,5.50,
경기,이천,국화,1,001,2020-03-12,2,76.0,34,,11.8,7.3,6.00,
경기,이천,국화,1,001,2020-03-12,3,70.1,36,,9.6,5.0,5.20,
경기,이천,국화,1,001,2020-03-12,4,71.6,35,,10.5,6.0,5.70,
경기,이천,국화,1,001,2020-03-19,1,79.0,44,,10.6,6.0,5.50,
경기,이천,국화,1,001,2020-03-19,2,83.6,39,,11.8,7.7,6.00,
경기,이천,국화,1,001,2020-03-19,3,77.5,37,,9.6,5.0,5.30,
경기,이천,국화,1,001,2020-03-19,4,78.7,38,,10.5,6.0,6.00,
경기,이천,국화,1,001,2020-04-09,1,91.2,58,8,10.9,6.4,5.90,
경기,이천,국화,1,001,2020-04-09,2,96.7,63,8,12.7,7.3,6.00,
경기,이천,국화,1,001,2020-04-09,3,88.3,55,10,9.8,5.0,5.60,
경기,이천,국화,1,001,2020-04-09,4,91.0,53,8,10.6,5.5,6.00,
경기,이천,국화,1,001,2020-04-16,1,91.2,72,9,11.1,5.5,6.20,2020-04-12
경기,이천,국화,1,001,2020-04-16,2,96.7,68,8,12.7,7.3,6.30,2020-04-12
경기,이천,국화,1,001,2020-04-16,3,88.3,56,11,10.5,4.5,5.30,2020-04-12
경기,이천,국화,1,001,2020-04-16,4,91.2,55,8,10.6,6.1,6.00,2020-04-12
경기,이천,국화,2,001,2020-04-23,1,9.2,,,,,,
경기,이천,국화,2,001,2020-04-23,2,8.4,,,,,,
경기,이천,국화,2,001,2020-04-23,3,9.5,,,,,,
경기,이천,국화,2,001,2020-04-23,4,8.9,,,,,,
경기,이천,국화,2,001,2020-04-29,1,16.6,12,,6.3,3.4,3.90,
경기,이천,국화,2,001,2020-04-29,2,14.4,10,,6.0,2.9,3.30,
경기,이천,국화,2,001,2020-04-29,3,16.0,12,,6.8,3.3,3.50,
경기,이천,국화,2,001,2020-04-29,4,14.6,10,,5.2,3.0,3.50,
경기,이천,국화,2,001,2020-05-08,1,29.8,16,,7.8,4.1,4.20,
경기,이천,국화,2,001,2020-05-08,2,28.3,17,,7.4,4.1,3.80,
경기,이천,국화,2,001,2020-05-08,3,24.2,14,,7.1,3.8,3.50,
경기,이천,국화,2,001,2020-05-08,4,25.8,14,,6.5,3.7,3.50,
경기,이천,국화,2,001,2020-05-14,1,36.2,19,,7.8,4.1,4.50,
경기,이천,국화,2,001,2020-05-14,2,35.4,19,,7.5,4.1,3.90,
경기,이천,국화,2,001,2020-05-14,3,32.3,17,,7.3,3.8,3.60,
경기,이천,국화,2,001,2020-05-14,4,32.5,17,,6.8,3.7,3.60,
경기,이천,국화,2,001,2020-05-21,1,44.5,21,,8.0,3.5,4.50,
경기,이천,국화,2,001,2020-05-21,2,44.7,24,,8.0,4.1,3.90,
경기,이천,국화,2,001,2020-05-21,3,41.5,21,,7.5,4.4,4.00,
경기,이천,국화,2,001,2020-05-21,4,40.8,20,,7.0,3.3,3.60,
경기,이천,국화,2,001,2020-05-28,1,56.2,28,,9.2,4.4,4.50,
경기,이천,국화,2,001,2020-05-28,2,56.3,28,,9.2,4.6,4.20,
경기,이천,국화,2,001,2020-05-28,3,54.3,26,,8.1,4.6,4.30,
경기,이천,국화,2,001,2020-05-28,4,49.0,25,,7.0,3.5,3.70,
경기,이천,국화,2,001,2020-06-04,1,66.4,32,,9.3,4.6,4.60,
경기,이천,국화,2,001,2020-06-04,2,67.8,31,,9.7,4.3,4.30,
경기,이천,국화,2,001,2020-06-04,3,56.3,29,,9.2,4.4,4.60,
경기,이천,국화,2,001,2020-06-04,4,57.3,28,,7.0,3.5,3.70,
경기,이천,국화,2,001,2020-06-11,1,77.2,36,,9.3,4.6,4.90,
경기,이천,국화,2,001,2020-06-11,2,78.4,36,,9.7,4.3,4.90,
경기,이천,국화,2,001,2020-06-11,3,77.1,30,,9.5,4.4,5.10,
경기,이천,국화,2,001,2020-06-11,4,66.8,31,,7.5,3.7,4.10,
경기,이천,국화,2,001,2020-06-18,1,84.1,48,3,10.0,5.0,5.20,
경기,이천,국화,2,001,2020-06-18,2,85.2,38,,9.7,4.5,5.10,
