도,시군,품목,작기,농가명,조사일자,개체번호,액아구분,초장,엽수,엽장,엽폭,엽병장,관부직경,화방번호,화방별착과수
경남,거창,딸기,1,051,2020-10-08,1,본주,24.0,4,6.5,4.6,16.0,13.22,0,
경남,거창,딸기,1,051,2020-10-08,2,본주,22.8,5,7.5,5.3,9.0,12.41,0,
경남,거창,딸기,1,051,2020-10-08,3,본주,25.5,5,7.4,5.6,8.6,14.42,0,
경남,거창,딸기,1,051,2020-10-08,4,본주,30.0,5,9.6,6.3,13.7,15.73,0,
경남,거창,딸기,1,051,2020-10-15,1,본주,24.0,5,10.4,6.7,8.7,12.27,0,
경남,거창,딸기,1,051,2020-10-15,2,본주,24.2,6,9.0,6.0,7.5,13.59,0,
경남,거창,딸기,1,051,2020-10-15,3,본주,21.5,6,10.6,8.0,10.3,14.70,0,
경남,거창,딸기,1,051,2020-10-15,4,본주,29.0,6,10.8,7.9,11.0,14.73,0,
경남,거창,딸기,1,051,2020-10-22,1,본주,25.0,5,10.5,7.0,10.5,12.72,1,
경남,거창,딸기,1,051,2020-10-22,2,본주,24.0,6,10.0,7.5,11.6,14.15,1,
경남,거창,딸기,1,051,2020-10-22,3,본주,22.3,5,10.9,7.7,9.2,15.74,1,
경남,거창,딸기,1,051,2020-10-22,4,본주,29.5,7,11.3,8.0,11.2,16.33,1,
경남,거창,딸기,1,051,2020-10-29,1,본주,25.5,7,10.9,7.5,11.3,13.54,1,
경남,거창,딸기,1,051,2020-10-29,2,본주,25.0,6,10.5,7.0,10.5,15.10,1,
경남,거창,딸기,1,051,2020-10-29,3,본주,23.8,7,11.0,8.5,10.5,16.20,1,
경남,거창,딸기,1,051,2020-10-29,4,본주,27.0,5,11.5,8.0,10.8,16.57,1,
경남,거창,딸기,1,051,2020-11-06,1,본주,25.0,6,9.3,7.0,10.1,14.73,1,3
경남,거창,딸기,1,051,2020-11-06,2,본주,25.9,8,10.0,8.2,11.2,15.52,1,1
경남,거창,딸기,1,051,2020-11-06,3,본주,27.2,9,11.8,8.2,13.9,17.23,1,3
경남,거창,딸기,1,051,2020-11-06,4,본주,29.7,7,12.0,9.6,13.0,16.80,1,4
경남,거창,딸기,1,051,2020-11-12,1,본주,22.6,6,9.6,7.4,12.5,14.16,1,6
경남,거창,딸기,1,051,2020-11-12,2,본주,26.1,7,10.7,7.5,12.9,15.14,1,3
경남,거창,딸기,1,051,2020-11-12,3,본주,28.9,7,12.0,8.7,15.8,16.49,1,6
경남,거창,딸기,1,051,2020-11-12,4,본주,30.5,6,12.5,9.4,13.1,16.87,1,8
경남,거창,딸기,1,051,2020-11-19,1,본주,23.3,6,8.5,6.3,14.0,14.83,1,7
경남,거창,딸기,1,051,2020-11-19,2,본주,26.3,7,10.7,7.9,13.8,15.37,1,6
경남,거창,딸기,1,051,2020-11-19,3,본주,28.9,8,9.8,7.7,16.7,16.39,1,8
경남,거창,딸기,1,051,2020-11-19,4,본주,28.0,7,12.9,9.7,12.7,16.52,1,12
경남,거창,딸기,1,051,2020-12-24,1,본주,24.0,9,6.4,4.5,12.4,16.77,1,0
경남,거창,딸기,1,051,2020-12-24,1,본주,24.0,9,6.4,4.5,12.4,16.77,2,
경남,거창,딸기,1,051,2020-12-24,2,본주,31.5,7,9.7,6.5,18.3,16.05,1,3
경남,거창,딸기,1,051,2020-12-24,2,본주,31.5,7,9.7,6.5,18.3,16.05,2,
경남,거창,딸기,1,051,2020-12-24,3,본주,30.1,11,9.4,7.0,16.4,17.39,1,0
경남,거창,딸기,1,051,2020-12-24,3,본주,30.1,11,9.4,7.0,16.4,17.39,2,2
