도,시군,품목,작기,농가명,조사일자,개체번호,줄기번호,초장,생장길이,엽수,엽장,엽폭,줄기굵기,화방높이,화방번호,화방별꽃수,화방별개화수,화방별착과수
경기,평택,방울토마토,1,001,2020-02-05,1,,71.0,,8,33.5,21.3,9.03,17.3,1,,6,4
경기,평택,방울토마토,1,001,2020-02-05,1,,71.0,,8,33.5,21.3,9.03,17.3,10,,,
경기,평택,방울토마토,1,001,2020-02-05,1,,71.0,,8,33.5,21.3,9.03,17.3,11,,,
경기,평택,방울토마토,1,001,2020-02-05,1,,71.0,,8,33.5,21.3,9.03,17.3,12,,,
경기,평택,방울토마토,1,001,2020-02-05,1,,71.0,,8,33.5,21.3,9.03,17.3,13,,,
경기,평택,방울토마토,1,001,2020-02-05,1,,71.0,,8,33.5,21.3,9.03,17.3,2,,2,
경기,평택,방울토마토,1,001,2020-02-05,1,,71.0,,8,33.5,21.3,9.03,17.3,3,,,
경기,평택,방울토마토,1,001,2020-02-05,1,,71.0,,8,33.5,21.3,9.03,17.3,4,,,
경기,평택,방울토마토,1,001,2020-02-05,1,,71.0,,8,33.5,21.3,9.03,17.3,5,,,
경기,평택,방울토마토,1,001,2020-02-05,1,,71.0,,8,33.5,21.3,9.03,17.3,6,,,
경기,평택,방울토마토,1,001,2020-02-05,1,,71.0,,8,33.5,21.3,9.03,17.3,7,,,
경기,평택,방울토마토,1,001,2020-02-05,1,,71.0,,8,33.5,21.3,9.03,17.3,8,,,
경기,평택,방울토마토,1,001,2020-02-05,1,,71.0,,8,33.5,21.3,9.03,17.3,9,,,
경기,평택,방울토마토,1,001,2020-02-05,2,,62.8,,5,32.3,24.8,7.50,18.1,1,,5,5
경기,평택,방울토마토,1,001,2020-02-05,2,,62.8,,5,32.3,24.8,7.50,18.1,10,,,
경기,평택,방울토마토,1,001,2020-02-05,2,,62.8,,5,32.3,24.8,7.50,18.1,11,,,
경기,평택,방울토마토,1,001,2020-02-05,2,,62.8,,5,32.3,24.8,7.50,18.1,12,,,
경기,평택,방울토마토,1,001,2020-02-05,2,,62.8,,5,32.3,24.8,7.50,18.1,13,,,
경기,평택,방울토마토,1,001,2020-02-05,2,,62.8,,5,32.3,24.8,7.50,18.1,2,,3,
경기,평택,방울토마토,1,001,2020-02-05,2,,62.8,,5,32.3,24.8,7.50,18.1,3,,,
경기,평택,방울토마토,1,001,2020-02-05,2,,62.8,,5,32.3,24.8,7.50,18.1,4,,,
경기,평택,방울토마토,1,001,2020-02-05,2,,62.8,,5,32.3,24.8,7.50,18.1,5,,,
경기,평택,방울토마토,1,001,2020-02-05,2,,62.8,,5,32.3,24.8,7.50,18.1,6,,,
경기,평택,방울토마토,1,001,2020-02-05,2,,62.8,,5,32.3,24.8,7.50,18.1,7,,,
경기,평택,방울토마토,1,001,2020-02-05,2,,62.8,,5,32.3,24.8,7.50,18.1,8,,,
경기,평택,방울토마토,1,001,2020-02-05,2,,62.8,,5,32.3,24.8,7.50,18.1,9,,,
경기,평택,방울토마토,1,001,2020-02-05,3,,54.4,,6,27.5,19.7,7.70,12.1,1,,5,3
경기,평택,방울토마토,1,001,2020-02-05,3,,54.4,,6,27.5,19.7,7.70,12.1,10,,,
경기,평택,방울토마토,1,001,2020-02-05,3,,54.4,,6,27.5,19.7,7.70,12.1,11,,,
경기,평택,방울토마토,1,001,2020-02-05,3,,54.4,,6,27.5,19.7,7.70,12.1,12,,,
경기,평택,방울토마토,1,001,2020-02-05,3,,54.4,,6,27.5,19.7,7.70,12.1,13,,,
경기,평택,방울토마토,1,001,2020-02-05,3,,54.4,,6,27.5,19.7,7.70,12.1,2,,1,
경기,평택,방울토마토,1,001,2020-02-05,3,,54.4,,6,27.5,19.7,7.70,12.1,3,,,
경기,평택,방울토마토,1,001,2020-02-05,3,,54.4,,6,27.5,19.7,7.70,12.1,4,,,
경기,평택,방울토마토,1,001,2020-02-05,3,,54.4,,6,27.5,19.7,7.70,12.1,5,,,
경기,평택,방울토마토,1,001,2020-02-05,3,,54.4,,6,27.5,19.7,7.70,12.1,6,,,
경기,평택,방울토마토,1,001,2020-02-05,3,,54.4,,6,27.5,19.7,7.70,12.1,7,,,
경기,평택,방울토마토,1,001,2020-02-05,3,,54.4,,6,27.5,19.7,7.70,12.1,8,,,
경기,평택,방울토마토,1,001,2020-02-05,3,,54.4,,6,27.5,19.7,7.70,12.1,9,,,
경기,평택,방울토마토,1,001,2020-02-05,4,,63.5,,8,33.1,20.2,8.62,14.5,1,,5,4
경기,평택,방울토마토,1,001,2020-02-05,4,,63.5,,8,33.1,20.2,8.62,14.5,10,,,
경기,평택,방울토마토,1,001,2020-02-05,4,,63.5,,8,33.1,20.2,8.62,14.5,11,,,
경기,평택,방울토마토,1,001,2020-02-05,4,,63.5,,8,33.1,20.2,8.62,14.5,12,,,
경기,평택,방울토마토,1,001,2020-02-05,4,,63.5,,8,33.1,20.2,8.62,14.5,13,,,
경기,평택,방울토마토,1,001,2020-02-05,4,,63.5,,8,33.1,20.2,8.62,14.5,2,,1,
경기,평택,방울토마토,1,001,2020-02-05,4,,63.5,,8,33.1,20.2,8.62,14.5,3,,,
경기,평택,방울토마토,1,001,2020-02-05,4,,63.5,,8,33.1,20.2,8.62,14.5,4,,,
경기,평택,방울토마토,1,001,2020-02-05,4,,63.5,,8,33.1,20.2,8.62,14.5,5,,,
경기,평택,방울토마토,1,001,2020-02-05,4,,63.5,,8,33.1,20.2,8.62,14.5,6,,,
경기,평택,방울토마토,1,001,2020-02-05,4,,63.5,,8,33.1,20.2,8.62,14.5,7,,,
경기,평택,방울토마토,1,001,2020-02-05,4,,63.5,,8,33.1,20.2,8.62,14.5,8,,,
경기,평택,방울토마토,1,001,2020-02-05,4,,63.5,,8,33.1,20.2,8.62,14.5,9,,,
경기,평택,방울토마토,1,001,2020-02-12,1,,82.8,,9,34.7,28.9,9.98,30.5,1,,6,5
경기,평택,방울토마토,1,001,2020-02-12,1,,82.8,,9,34.7,28.9,9.98,30.5,10,,,
경기,평택,방울토마토,1,001,2020-02-12,1,,82.8,,9,34.7,28.9,9.98,30.5,11,,,
경기,평택,방울토마토,1,001,2020-02-12,1,,82.8,,9,34.7,28.9,9.98,30.5,12,,,
경기,평택,방울토마토,1,001,2020-02-12,1,,82.8,,9,34.7,28.9,9.98,30.5,13,,,
경기,평택,방울토마토,1,001,2020-02-12,1,,82.8,,9,34.7,28.9,9.98,30.5,2,,5,2
경기,평택,방울토마토,1,001,2020-02-12,1,,82.8,,9,34.7,28.9,9.98,30.5,3,,,
경기,평택,방울토마토,1,001,2020-02-12,1,,82.8,,9,34.7,28.9,9.98,30.5,4,,,
경기,평택,방울토마토,1,001,2020-02-12,1,,82.8,,9,34.7,28.9,9.98,30.5,5,,,
경기,평택,방울토마토,1,001,2020-02-12,1,,82.8,,9,34.7,28.9,9.98,30.5,6,,,
경기,평택,방울토마토,1,001,2020-02-12,1,,82.8,,9,34.7,28.9,9.98,30.5,7,,,
경기,평택,방울토마토,1,001,2020-02-12,1,,82.8,,9,34.7,28.9,9.98,30.5,8,,,
경기,평택,방울토마토,1,001,2020-02-12,1,,82.8,,9,34.7,28.9,9.98,30.5,9,,,
경기,평택,방울토마토,1,001,2020-02-12,2,,73.9,,6,34.5,28.6,8.35,28.7,1,,5,5
경기,평택,방울토마토,1,001,2020-02-12,2,,73.9,,6,34.5,28.6,8.35,28.7,10,,,
경기,평택,방울토마토,1,001,2020-02-12,2,,73.9,,6,34.5,28.6,8.35,28.7,11,,,
경기,평택,방울토마토,1,001,2020-02-12,2,,73.9,,6,34.5,28.6,8.35,28.7,12,,,
경기,평택,방울토마토,1,001,2020-02-12,2,,73.9,,6,34.5,28.6,8.35,28.7,13,,,
경기,평택,방울토마토,1,001,2020-02-12,2,,73.9,,6,34.5,28.6,8.35,28.7,2,,6,2
경기,평택,방울토마토,1,001,2020-02-12,2,,73.9,,6,34.5,28.6,8.35,28.7,3,,,
