도,시군,품목,작기,농가명,조사일자,덩굴구분,개체번호,초장,마디수,평균절간장,줄기굵기,엽장,엽폭,엽수,암꽃수,착과수
경기,안성,오이,1,001,2020-02-20,,1,12.9,3,4.3,4.00,7.0,8.0,3,0,0
경기,안성,오이,1,001,2020-02-20,,2,10.4,3,3.5,5.20,7.4,9.0,3,0,0
경기,안성,오이,1,001,2020-02-20,,3,12.0,3,4.0,4.20,9.5,11.4,3,0,0
경기,안성,오이,1,001,2020-02-20,,4,12.0,4,3.0,5.40,9.5,12.4,4,0,0
경기,안성,오이,1,001,2020-02-27,,1,15.8,4,4.0,4.90,9.8,12.5,4,0,0
경기,안성,오이,1,001,2020-02-27,,2,14.0,4,3.5,6.30,11.2,14.8,4,0,0
경기,안성,오이,1,001,2020-02-27,,3,21.9,5,4.4,6.30,12.5,16.5,5,0,0
경기,안성,오이,1,001,2020-02-27,,4,17.6,5,3.5,6.60,12.5,16.2,5,0,0
경기,안성,오이,1,001,2020-03-05,,1,23.0,5,4.6,6.30,12.0,17.0,5,0,0
경기,안성,오이,1,001,2020-03-05,,2,22.4,5,4.5,7.30,14.0,18.0,5,0,0
경기,안성,오이,1,001,2020-03-05,,3,36.1,7,5.2,6.70,16.0,21.5,7,0,0
경기,안성,오이,1,001,2020-03-05,,4,27.5,6,4.6,6.60,13.8,20.5,6,0,0
경기,안성,오이,1,001,2020-03-12,,1,33.6,7,4.8,7.40,13.4,20.5,6,0,0
경기,안성,오이,1,001,2020-03-12,,2,34.3,7,4.9,8.00,16.0,22.0,6,0,0
경기,안성,오이,1,001,2020-03-12,,3,56.0,9,6.2,8.00,17.5,27.0,7,0,0
경기,안성,오이,1,001,2020-03-12,,4,40.2,8,5.0,8.00,16.4,24.2,6,0,0
경기,안성,오이,1,001,2020-03-19,,1,45.2,9,5.0,7.80,14.6,23.0,8,0,0
경기,안성,오이,1,001,2020-03-19,,2,53.6,10,5.4,9.40,17.6,27.5,9,0,0
경기,안성,오이,1,001,2020-03-19,,3,81.2,11,7.4,8.90,20.6,31.9,9,1,1
경기,안성,오이,1,001,2020-03-19,,4,56.6,10,5.7,9.00,19.0,29.0,8,0,0
경기,안성,오이,1,001,2020-04-09,,1,146.5,17,7.7,8.90,19.0,30.3,14,2,0
경기,안성,오이,1,001,2020-04-09,,2,164.5,19,8.7,10.40,24.0,36.0,13,2,0
경기,안성,오이,1,001,2020-04-09,,3,225.6,22,10.3,9.60,26.4,38.2,16,1,0
경기,안성,오이,1,001,2020-04-09,,4,160.7,19,8.5,9.60,19.8,32.0,12,1,0
경기,안성,오이,1,001,2020-04-16,,1,189.3,21,8.2,8.70,21.3,33.5,16,2,3
경기,안성,오이,1,001,2020-04-16,,2,213.5,23,9.3,10.20,24.7,35.0,15,1,0
경기,안성,오이,1,001,2020-04-16,,3,279.1,26,10.7,8.90,22.0,34.0,14,1,1
경기,안성,오이,1,001,2020-04-16,,4,203.6,23,8.9,8.40,22.2,32.8,15,0,2
경기,안성,오이,1,001,2020-04-23,,1,230.2,24,8.9,8.60,19.5,27.0,15,1,5
경기,안성,오이,1,001,2020-04-23,,2,262.2,28,9.4,9.40,21.2,30.0,17,1,7
경기,안성,오이,1,001,2020-04-23,,3,326.3,29,11.3,9.30,22.0,31.2,15,1,9
경기,안성,오이,1,001,2020-04-23,,4,240.9,26,9.3,7.60,21.0,31.0,15,2,5
경기,안성,오이,1,001,2020-04-29,,1,260.3,27,9.0,8.90,19.5,29.0,18,1,6
경기,안성,오이,1,001,2020-04-29,,2,295.7,31,9.5,9.60,20.0,29.8,19,2,8
경기,안성,오이,1,001,2020-04-29,,3,367.6,32,11.5,8.30,21.0,31.0,14,2,8
경기,안성,오이,1,001,2020-04-29,,4,275.0,29,9.5,8.60,20.4,30.6,18,2,6
경기,안성,오이,1,001,2020-05-08,,1,311.7,32,9.2,8.40,16.8,26.6,17,0,7
경기,안성,오이,1,001,2020-05-08,,2,356.3,37,9.6,7.80,17.0,26.0,22,2,5
경기,안성,오이,1,001,2020-05-08,,3,432.0,37,11.7,7.90,20.0,31.0,14,1,8
경기,안성,오이,1,001,2020-05-08,,4,337.2,33,10.2,7.10,18.8,28.4,16,0,7
경기,안성,오이,1,001,2020-05-14,,1,341.5,35,9.2,7.50,16.5,24.6,20,3,7
경기,안성,오이,1,001,2020-05-14,,2,382.3,40,9.6,7.70,15.4,22.0,25,2,6
경기,안성,오이,1,001,2020-05-14,,3,466.6,40,11.7,8.00,13.2,21.0,17,1,8
경기,안성,오이,1,001,2020-05-14,,4,372.0,36,10.3,7.60,19.4,30.0,19,1,8
경기,안성,오이,1,001,2020-05-21,,1,376.2,38,9.4,6.30,16.0,24.0,23,1,6
경기,안성,오이,1,001,2020-05-21,,2,394.0,41,9.6,6.90,13.5,21.2,10,0,6
경기,안성,오이,1,001,2020-05-21,,3,503.4,43,11.7,7.30,13.5,22.5,12,1,8
경기,안성,오이,1,001,2020-05-21,,4,415.4,40,10.4,7.20,19.6,29.2,16,1,9
경기,안성,오이,1,001,2020-05-28,,1,390.8,39,9.5,6.80,17.2,25.6,22,1,4
경기,안성,오이,1,001,2020-05-28,,2,,,,,,,,,
경기,안성,오이,1,001,2020-05-28,,3,509.8,43,11.9,8.10,7.2,16.0,9,1,5
경기,안성,오이,1,001,2020-05-28,,4,427.2,40,10.7,8.40,20.2,29.2,16,1,7
경기,안성,오이,1,001,2020-06-04,,1,390.8,39,9.5,7.00,17.0,26.5,12,0,7
경기,안성,오이,1,001,2020-06-04,,2,,,,,,,,,
경기,안성,오이,1,001,2020-06-04,,3,510.3,43,11.9,8.10,16.5,26.0,9,0,3
경기,안성,오이,1,001,2020-06-04,,4,427.2,40,10.7,8.90,19.4,30.0,13,0,4
경기,안성,오이,2,001,2020-06-18,,1,18.1,3,6.0,4.00,8.4,7.1,3,0,0
경기,안성,오이,2,001,2020-06-18,,2,17.0,4,4.2,5.80,14.0,15.5,4,0,0
경기,안성,오이,2,001,2020-06-18,,3,21.3,5,4.3,5.90,14.6,17.0,5,0,0
경기,안성,오이,2,001,2020-06-18,,4,16.7,3,5.6,5.10,9.2,12.5,3,0,0
경기,안성,오이,2,001,2020-06-25,,1,39.5,8,4.9,7.60,13.5,17.0,6,0,0
경기,안성,오이,2,001,2020-06-25,,2,65.2,11,5.9,7.90,18.5,22.2,9,0,0
경기,안성,오이,2,001,2020-06-25,,3,68.0,11,6.2,8.00,15.0,17.7,9,0,0
경기,안성,오이,2,001,2020-06-25,,4,43.9,9,4.9,7.70,13.4,17.0,8,0,0
경기,안성,오이,2,001,2020-07-02,,1,97.5,14,7.0,7.60,15.6,20.0,12,0,0
경기,안성,오이,2,001,2020-07-02,,2,131.9,18,7.3,7.50,18.0,23.6,16,0,0
경기,안성,오이,2,001,2020-07-02,,3,135.1,18,7.5,8.30,17.0,23.6,16,0,0
