도,시군,품목,작기,농가명,조사일자,개체번호,줄기번호,초장,생장길이,엽수,엽장,엽폭,줄기굵기,화방높이,화방번호,화방별꽃수,화방별개화수,화방별착과수,개화군,착과군
강원,춘천,완숙토마토,1,008,2020-04-09,1,1,115.0,,12,40.5,44.0,8.16,8.0,4,7,,,3.00,2.32
강원,춘천,완숙토마토,1,008,2020-04-09,2,1,112.0,,11,42.0,38.0,8.88,10.0,4,6,,,3.17,2.75
강원,춘천,완숙토마토,1,008,2020-04-09,3,1,132.0,,11,43.5,43.0,10.17,12.0,4,6,,,3.08,2.36
강원,춘천,완숙토마토,1,008,2020-04-09,4,1,131.0,,13,42.5,39.0,7.90,9.5,4,9,,,3.11,3.00
강원,춘천,완숙토마토,1,008,2020-04-14,1,1,129.5,14.5,13,41.5,36.0,11.65,21.4,4,7,,,4.00,3.00
강원,춘천,완숙토마토,1,008,2020-04-14,2,1,127.3,15.3,11,42.0,38.0,13.46,23.2,4,6,,,3.83,3.00
강원,춘천,완숙토마토,1,008,2020-04-14,3,1,148.3,16.3,12,45.5,33.0,13.85,27.2,4,6,,,3.67,3.00
강원,춘천,완숙토마토,1,008,2020-04-14,4,1,147.1,16.1,12,41.5,40.0,11.56,22.0,4,9,,,3.67,3.11
강원,춘천,완숙토마토,1,008,2020-04-21,1,1,148.0,18.5,13,36.0,31.0,8.25,12.0,5,6,,,4.50,3.45
강원,춘천,완숙토마토,1,008,2020-04-21,2,1,148.3,21.0,16,35.5,28.0,9.02,15.5,5,5,,,4.60,3.67
강원,춘천,완숙토마토,1,008,2020-04-21,3,1,168.7,20.4,14,40.0,33.0,9.89,17.3,5,5,,,4.80,3.54
강원,춘천,완숙토마토,1,008,2020-04-21,4,1,168.4,21.3,14,37.2,32.0,7.97,12.0,5,6,,,4.33,3.44
강원,춘천,완숙토마토,1,008,2020-04-28,1,1,162.0,14.0,10,36.0,31.0,6.98,8.0,6,5,,,5.23,4.19
강원,춘천,완숙토마토,1,008,2020-04-28,2,1,163.8,15.5,11,31.5,23.0,5.18,5.5,6,5,,,5.40,4.27
강원,춘천,완숙토마토,1,008,2020-04-28,3,1,182.7,14.0,11,37.5,30.0,5.63,5.5,6,7,,,5.00,4.28
강원,춘천,완숙토마토,1,008,2020-04-28,4,1,183.9,15.5,13,36.5,29.0,4.28,4.0,6,5,,,5.40,4.28
강원,춘천,완숙토마토,1,008,2020-05-06,1,1,184.5,22.5,13,39.0,38.0,4.23,8.0,7,6,,,6.00,5.07
강원,춘천,완숙토마토,1,008,2020-05-06,2,1,177.8,14.0,13,32.0,28.0,7.86,5.5,7,6,,,5.97,5.20
강원,춘천,완숙토마토,1,008,2020-05-06,3,1,205.0,22.3,13,34.0,26.0,4.64,5.5,7,6,,,6.08,5.12
강원,춘천,완숙토마토,1,008,2020-05-06,4,1,196.9,13.0,12,36.0,34.0,8.11,4.0,6,7,,,5.86,5.10
강원,춘천,완숙토마토,1,008,2020-05-12,1,1,,,,,,,,7,6,,,6.17,5.17
강원,춘천,완숙토마토,1,008,2020-05-12,2,1,,,,,,,,7,6,,,6.17,5.83
강원,춘천,완숙토마토,1,008,2020-05-12,3,1,,,,,,,,7,6,,,6.33,5.29
강원,춘천,완숙토마토,1,008,2020-05-12,4,1,,,,,,,,6,7,,,6.00,5.71
강원,춘천,완숙토마토,1,008,2020-05-19,1,1,,,,,,,,7,6,,,6.17,6.00
강원,춘천,완숙토마토,1,008,2020-05-19,2,1,,,,,,,,7,6,,,6.17,6.00
강원,춘천,완숙토마토,1,008,2020-05-19,3,1,,,,,,,,7,6,,,6.33,6.00
강원,춘천,완숙토마토,1,008,2020-05-19,4,1,,,,,,,,6,6,,,6.00,6.00
강원,춘천,완숙토마토,1,008,2020-05-26,1,1,,,,,,,,7,6,,,6.17,6.00
강원,춘천,완숙토마토,1,008,2020-05-26,2,1,,,,,,,,7,6,,,5.97,5.80
강원,춘천,완숙토마토,1,008,2020-05-26,3,1,,,,,,,,7,6,,,6.00,5.67
강원,춘천,완숙토마토,1,008,2020-05-26,4,1,,,,,,,,6,3,,,5.78,5.78
강원,춘천,완숙토마토,1,008,2020-06-02,1,1,,,,,,,,7,6,,,6.17,6.00
강원,춘천,완숙토마토,1,008,2020-06-02,2,1,,,,,,,,7,6,,,6.17,6.00
강원,춘천,완숙토마토,1,008,2020-06-02,3,1,,,,,,,,7,6,,,6.33,6.00
강원,춘천,완숙토마토,1,008,2020-06-02,4,1,,,,,,,,6,3,,,6.00,6.00
강원,춘천,완숙토마토,1,008,2020-06-11,1,1,,,,,,,,7,6,,,6.17,6.00
강원,춘천,완숙토마토,1,008,2020-06-11,2,1,,,,,,,,7,6,,,6.17,6.00
강원,춘천,완숙토마토,1,008,2020-06-11,3,1,,,,,,,,7,6,,,6.33,6.00
강원,춘천,완숙토마토,1,008,2020-06-11,4,1,,,,,,,,6,3,,,6.00,6.00
강원,춘천,완숙토마토,1,008,2020-06-16,1,1,,,,,,,,7,6,,,6.17,6.00
