档,矫焙,前格,累扁,丑啊疙,炼荤老磊,俺眉锅龋,檬厘,勘厘,勘气,临扁苯扁
版合,己林,曼寇,1,001,2021-01-05,1,,18.7,17.2,6.25
版合,己林,曼寇,1,001,2021-01-05,2,,16.4,15.3,6.23
版合,己林,曼寇,1,001,2021-01-05,3,,16.7,15.9,6.06
版合,己林,曼寇,1,001,2021-01-05,4,,17.1,15.6,5.80
版合,己林,曼寇,1,001,2021-01-12,1,,17.1,15.7,6.68
版合,己林,曼寇,1,001,2021-01-12,2,,16.5,15.1,7.09
版合,己林,曼寇,1,001,2021-01-12,3,,15.0,17.2,5.08
版合,己林,曼寇,1,001,2021-01-12,4,,16.3,16.2,5.30
版合,己林,曼寇,1,001,2021-01-19,1,,13.9,13.0,6.00
版合,己林,曼寇,1,001,2021-01-19,2,,15.3,15.6,6.12
版合,己林,曼寇,1,001,2021-01-19,3,,17.0,15.8,7.04
版合,己林,曼寇,1,001,2021-01-19,4,,14.6,14.8,6.09
版合,己林,曼寇,1,001,2021-01-26,1,,14.4,13.2,6.03
版合,己林,曼寇,1,001,2021-01-26,2,,15.3,13.1,5.74
版合,己林,曼寇,1,001,2021-01-26,3,,15.5,15.4,5.12
版合,己林,曼寇,1,001,2021-01-26,4,,15.3,14.5,5.16
版合,己林,曼寇,1,001,2021-02-02,1,,18.0,17.3,7.32
版合,己林,曼寇,1,001,2021-02-02,2,,14.2,14.4,5.53
版合,己林,曼寇,1,001,2021-02-02,3,,17.3,17.0,5.74
版合,己林,曼寇,1,001,2021-02-02,4,,16.2,16.5,4.51
版合,己林,曼寇,1,001,2021-02-09,1,,13.5,13.3,7.24
版合,己林,曼寇,1,001,2021-02-09,2,,17.3,15.6,6.53
版合,己林,曼寇,1,001,2021-02-09,3,,13.2,13.5,5.00
版合,己林,曼寇,1,001,2021-02-09,4,,15.8,15.6,6.58
版合,己林,曼寇,1,001,2021-02-16,1,,17.5,14.5,6.73
版合,己林,曼寇,1,001,2021-02-16,2,,17.6,14.4,7.05
版合,己林,曼寇,1,001,2021-02-16,3,,16.8,15.7,6.62
版合,己林,曼寇,1,001,2021-02-16,4,,16.4,14.3,6.04
版合,己林,曼寇,1,001,2021-02-23,1,,13.8,14.2,4.58
版合,己林,曼寇,1,001,2021-02-23,2,,13.9,13.3,4.27
版合,己林,曼寇,1,001,2021-02-23,3,,12.7,13.1,4.52
版合,己林,曼寇,1,001,2021-02-23,4,,14.9,14.5,5.54
版合,己林,曼寇,1,001,2021-03-02,1,,13.4,12.9,6.14
版合,己林,曼寇,1,001,2021-03-02,2,,12.9,14.0,5.85
版合,己林,曼寇,1,001,2021-03-02,3,,12.8,12.7,6.00
版合,己林,曼寇,1,001,2021-03-02,4,,12.5,12.3,6.26
版合,己林,曼寇,1,001,2021-03-09,1,,13.0,11.6,4.61
版合,己林,曼寇,1,001,2021-03-09,2,,13.3,13.2,5.20
版合,己林,曼寇,1,001,2021-03-09,3,,13.1,12.8,5.51
版合,己林,曼寇,1,001,2021-03-09,4,,13.4,12.9,7.13
版合,己林,曼寇,1,001,2021-03-16,1,,14.5,14.0,6.23
版合,己林,曼寇,1,001,2021-03-16,2,,12.0,10.0,6.86
版合,己林,曼寇,1,001,2021-03-16,3,,13.0,12.5,6.51
版合,己林,曼寇,1,001,2021-03-16,4,,11.0,11.5,6.49
版合,己林,曼寇,1,001,2021-03-23,1,,12.0,10.0,5.08
版合,己林,曼寇,1,001,2021-03-23,2,,12.0,10.4,7.11
版合,己林,曼寇,1,001,2021-03-23,3,,11.0,10.5,6.35
版合,己林,曼寇,1,001,2021-03-23,4,,11.0,9.0,5.12
版合,己林,曼寇,1,001,2021-03-30,1,,12.5,10.5,6.31
版合,己林,曼寇,1,001,2021-03-30,2,,12.0,11.0,5.74
版合,己林,曼寇,1,001,2021-03-30,3,,12.0,10.5,5.98
版合,己林,曼寇,1,001,2021-03-30,4,,11.5,10.0,5.46
版合,己林,曼寇,1,001,2021-04-06,1,,12.3,10.5,5.89
版合,己林,曼寇,1,001,2021-04-06,2,,12.0,11.5,5.36
版合,己林,曼寇,1,001,2021-04-06,3,,12.5,11.0,6.58
版合,己林,曼寇,1,001,2021-04-06,4,,12.0,10.0,5.36
版合,己林,曼寇,1,001,2021-04-13,1,,12.0,11.0,6.02
版合,己林,曼寇,1,001,2021-04-13,2,,11.5,10.0,6.31
版合,己林,曼寇,1,001,2021-04-13,3,,12.5,11.5,5.11
版合,己林,曼寇,1,001,2021-04-13,4,,11.0,10.0,4.29
版合,己林,曼寇,1,001,2021-04-20,1,,10.0,8.5,6.18
版合,己林,曼寇,1,001,2021-04-20,2,,10.5,9.0,6.21
版合,己林,曼寇,1,001,2021-04-20,3,,10.0,8.0,5.07
版合,己林,曼寇,1,001,2021-04-20,4,,9.5,8.0,5.10
版合,己林,曼寇,1,001,2021-04-27,1,,10.5,8.5,6.21
版合,己林,曼寇,1,001,2021-04-27,2,,9.0,8.7,5.17
版合,己林,曼寇,1,001,2021-04-27,3,,8.5,8.0,6.49
版合,己林,曼寇,1,001,2021-04-27,4,,10.0,9.5,5.51
版合,己林,曼寇,1,001,2021-05-04,1,,10.5,9.0,5.51
版合,己林,曼寇,1,001,2021-05-04,2,,9.5,9.0,6.36
版合,己林,曼寇,1,001,2021-05-04,3,,10.0,8.5,6.28
版合,己林,曼寇,1,001,2021-05-04,4,,9.5,9.0,5.76
版合,己林,曼寇,1,001,2021-05-11,1,,10.0,9.0,5.18
