도,시군,품목,작기,농가명,조사일자,개체번호,줄기번호,초장,생장길이,엽수,엽장,엽폭,줄기굵기,화방높이,개화마디,착과마디
강원,인제,파프리카,1,003,2020-03-16,1,1,98.0,,6,21.5,12.5,6.37,11.7,4,3
강원,인제,파프리카,1,003,2020-03-16,1,2,98.7,,7,27.8,14.8,8.37,12.3,5,4
강원,인제,파프리카,1,003,2020-03-16,1,3,99.5,,7,18.8,13.3,6.99,11.9,4,3
강원,인제,파프리카,1,003,2020-03-16,2,1,97.8,,7,25.0,13.5,7.68,15.7,5,3
강원,인제,파프리카,1,003,2020-03-16,2,2,96.5,,7,22.2,13.0,7.96,13.6,4,2
강원,인제,파프리카,1,003,2020-03-16,2,3,94.5,,7,24.0,15.0,7.47,14.4,5,4
강원,인제,파프리카,1,003,2020-03-16,3,1,95.7,,6,19.0,13.0,7.40,15.0,5,3
강원,인제,파프리카,1,003,2020-03-16,3,2,99.5,,6,27.0,15.5,9.04,18.4,5,4
강원,인제,파프리카,1,003,2020-03-16,3,3,96.7,,5,24.2,15.0,8.03,17.6,5,4
강원,인제,파프리카,1,003,2020-03-16,4,1,93.0,,5,25.7,16.1,8.70,12.3,5,4
강원,인제,파프리카,1,003,2020-03-16,4,2,98.1,,6,26.4,15.7,10.40,24.0,4,3
강원,인제,파프리카,1,003,2020-03-16,4,3,88.0,,5,27.0,14.7,9.10,14.5,4,2
강원,인제,파프리카,1,003,2020-03-23,1,1,103.5,5.5,10,18.5,12.8,5.67,3.2,7,
강원,인제,파프리카,1,003,2020-03-23,1,2,108.7,10.0,11,25.7,15.3,5.78,7.1,7,5
강원,인제,파프리카,1,003,2020-03-23,1,3,106.8,7.3,11,20.5,13.5,4.52,3.0,7,4
강원,인제,파프리카,1,003,2020-03-23,2,1,106.5,8.7,11,22.0,14.3,4.91,5.2,7,6
강원,인제,파프리카,1,003,2020-03-23,2,2,104.7,8.2,11,23.0,14.5,5.46,4.3,6,5
강원,인제,파프리카,1,003,2020-03-23,2,3,101.5,7.0,11,23.7,14.0,4.57,4.3,8,7
강원,인제,파프리카,1,003,2020-03-23,3,1,105.1,9.4,10,23.0,14.5,4.80,5.7,7,5
강원,인제,파프리카,1,003,2020-03-23,3,2,107.5,8.0,10,24.0,14.5,7.24,8.5,7,4
강원,인제,파프리카,1,003,2020-03-23,3,3,104.7,8.0,9,23.0,16.0,5.78,8.5,7,5
강원,인제,파프리카,1,003,2020-03-23,4,1,104.0,11.0,7,29.0,13.1,7.96,14.0,6,4
강원,인제,파프리카,1,003,2020-03-23,4,2,108.3,10.2,10,26.0,14.4,7.26,12.0,6,4
강원,인제,파프리카,1,003,2020-03-23,4,3,94.5,6.5,9,25.0,12.7,6.60,10.0,6,4
강원,인제,파프리카,1,003,2020-04-06,1,1,119.7,16.2,10,22.0,13.5,5.35,16.4,7,
강원,인제,파프리카,1,003,2020-04-06,1,2,124.1,15.4,17,23.5,12.8,4.22,2.5,10,8
강원,인제,파프리카,1,003,2020-04-06,1,3,121.5,14.7,11,22.5,14.8,5.84,15.8,7,
강원,인제,파프리카,1,003,2020-04-06,2,1,124.3,17.8,15,24.0,14.2,5.75,5.5,9,8
강원,인제,파프리카,1,003,2020-04-06,2,2,124.2,19.5,17,23.5,14.0,4.80,7.9,9,8
강원,인제,파프리카,1,003,2020-04-06,2,3,117.5,16.0,13,25.0,14.5,5.23,5.4,9,8
강원,인제,파프리카,1,003,2020-04-06,3,1,125.6,20.5,12,22.7,13.3,6.84,14.5,9,9
강원,인제,파프리카,1,003,2020-04-06,3,2,126.0,18.5,12,23.0,14.2,5.40,12.2,9,9
강원,인제,파프리카,1,003,2020-04-06,3,3,127.7,23.0,15,22.8,13.8,5.96,5.7,10,9
강원,인제,파프리카,1,003,2020-04-06,4,1,125.7,21.7,13,17.4,11.7,7.42,9.5,9,8
강원,인제,파프리카,1,003,2020-04-06,4,2,128.2,19.9,16,26.0,15.0,7.55,9.0,9,
강원,인제,파프리카,1,003,2020-04-06,4,3,120.5,26.0,15,25.2,14.4,6.34,7.8,9,
강원,인제,파프리카,1,003,2020-04-13,1,1,134.0,14.3,16,19.0,10.5,6.90,9.3,10,9
강원,인제,파프리카,1,003,2020-04-13,1,2,132.8,8.7,19,19.0,11.2,5.20,3.5,11,10
강원,인제,파프리카,1,003,2020-04-13,1,3,134.5,13.0,17,19.5,12.0,5.81,7.2,10,10
강원,인제,파프리카,1,003,2020-04-13,2,1,135.5,11.2,17,22.0,13.4,6.72,9.3,10,10
강원,인제,파프리카,1,003,2020-04-13,2,2,138.5,14.3,19,23.0,13.0,5.47,11.3,10,10
강원,인제,파프리카,1,003,2020-04-13,2,3,131.2,13.7,15,23.0,13.3,4.66,11.3,10,10
강원,인제,파프리카,1,003,2020-04-13,3,1,137.4,11.8,14,22.5,13.0,6.33,11.1,10,10
강원,인제,파프리카,1,003,2020-04-13,3,2,137.4,11.4,16,21.0,12.2,6.13,8.5,11,10
강원,인제,파프리카,1,003,2020-04-13,3,3,141.0,13.3,19,22.5,14.0,6.92,8.2,12,9
강원,인제,파프리카,1,003,2020-04-13,4,1,139.2,13.5,17,19.4,11.0,5.73,5.4,11,10
강원,인제,파프리카,1,003,2020-04-13,4,2,138.2,10.0,18,23.0,13.7,7.00,11.3,10,10
강원,인제,파프리카,1,003,2020-04-13,4,3,135.9,15.4,17,21.0,12.0,7.40,8.8,10,9
강원,인제,파프리카,1,003,2020-04-20,1,1,143.0,9.0,18,19.6,12.1,6.49,9.1,11,10
강원,인제,파프리카,1,003,2020-04-20,1,2,141.6,8.8,21,23.0,13.3,4.42,2.6,12,11
강원,인제,파프리카,1,003,2020-04-20,1,3,142.8,8.3,19,19.7,10.5,5.23,6.3,11,10
강원,인제,파프리카,1,003,2020-04-20,2,1,143.3,7.8,19,22.5,13.8,5.68,9.2,11,10
