도,시군,품목,작기,농가명,출하일자,총출하량,판매금액
경남,거창,딸기,1,51,2020-11-16,2.0,33000.0
경남,거창,딸기,1,51,2020-11-16,2.0,40000.0
경남,거창,딸기,1,51,2020-11-16,8.0,192000.0
경남,거창,딸기,1,51,2020-11-16,2.0,32000.0
경남,거창,딸기,1,51,2020-11-18,2.0,27000.0
경남,거창,딸기,1,51,2020-11-18,2.0,32000.0
경남,거창,딸기,1,51,2020-11-18,6.0,120000.0
경남,거창,딸기,1,51,2020-11-20,2.0,32000.0
경남,거창,딸기,1,51,2020-11-20,4.0,64000.0
경남,거창,딸기,1,51,2020-11-20,10.0,230000.0
경남,거창,딸기,1,51,2020-11-20,12.0,276000.0
경남,거창,딸기,1,51,2020-11-23,22.0,396000.0
경남,거창,딸기,1,51,2020-11-23,4.0,56000.0
경남,거창,딸기,1,51,2020-11-23,18.0,342000.0
경남,거창,딸기,1,51,2020-11-25,8.0,112000.0
경남,거창,딸기,1,51,2020-11-25,10.0,120000.0
경남,거창,딸기,1,51,2020-11-25,14.0,217000.0
경남,거창,딸기,1,51,2020-11-25,14.0,224000.0
경남,거창,딸기,1,51,2020-11-28,36.0,738000.0
경남,거창,딸기,1,51,2020-11-28,4.0,62000.0
경남,거창,딸기,1,51,2020-12-01,4.0,60000.0
경남,거창,딸기,1,51,2020-12-01,40.0,700000.0
경남,거창,딸기,1,51,2020-12-04,22.0,363000.0
경남,거창,딸기,1,51,2020-12-04,6.0,93000.0
경남,거창,딸기,1,51,2020-12-07,20.0,305000.0
경남,거창,딸기,1,51,2020-12-08,4.0,47000.0
경남,거창,딸기,1,51,2020-12-11,72.0,789000.0
경남,거창,딸기,1,51,2020-12-14,24.0,300000.0
경남,거창,딸기,1,51,2020-12-14,26.0,286000.0
경남,거창,딸기,1,51,2020-12-17,26.0,286000.0
경남,거창,딸기,1,51,2020-12-17,16.0,224000.0
경남,거창,딸기,1,51,2021-02-18,26.0,130000.0
경남,거창,딸기,1,51,2021-02-18,36.0,270000.0
경남,거창,딸기,1,51,2021-02-22,8.0,44000.0
경남,거창,딸기,1,51,2021-02-22,12.0,93000.0
경남,거창,딸기,1,51,2021-02-23,22.0,187000.0
경남,거창,딸기,1,51,2021-02-23,10.0,57500.0
경남,거창,딸기,1,51,2021-02-25,20.0,120000.0
경남,거창,딸기,1,51,2021-02-25,14.0,112000.0
경남,거창,딸기,1,51,2021-02-27,24.0,222000.0
경남,거창,딸기,1,51,2021-02-27,12.0,78000.0
경남,거창,딸기,1,51,2021-03-01,12.0,75000.0
경남,거창,딸기,1,51,2021-03-01,16.0,148000.0
경남,거창,딸기,1,51,2021-03-02,20.0,180000.0
경남,거창,딸기,1,51,2021-03-02,10.0,60000.0
경남,거창,딸기,1,51,2021-03-05,16.0,148000.0
경남,거창,딸기,1,51,2021-03-05,18.0,225000.0
경남,거창,딸기,1,51,2021-03-06,22.0,242000.0
경남,거창,딸기,1,51,2021-03-06,14.0,126000.0
경남,거창,딸기,1,51,2021-03-09,20.0,110000.0
경남,거창,딸기,1,51,2021-03-09,22.0,176000.0
경남,거창,딸기,1,51,2021-03-10,20.0,200000.0
경남,거창,딸기,1,51,2021-03-10,24.0,138000.0
경남,거창,딸기,1,51,2021-03-12,20.0,110000.0
경남,거창,딸기,1,51,2021-03-12,6.0,48000.0
경남,거창,딸기,1,51,2021-03-13,8.0,52000.0
경남,거창,딸기,1,51,2021-03-13,18.0,99000.0
경남,거창,딸기,1,51,2021-03-16,8.0,64000.0
경남,거창,딸기,1,51,2021-03-16,12.0,69000.0
경남,거창,딸기,1,51,2021-03-18,22.0,121000.0
경남,거창,딸기,1,51,2021-03-18,14.0,98000.0
경남,거창,딸기,1,51,2021-03-19,12.0,90000.0
경남,거창,딸기,1,51,2021-03-19,14.0,77000.0
경남,거창,딸기,1,51,2021-03-22,26.0,136500.0
경남,거창,딸기,1,51,2021-03-22,18.0,148500.0
경남,거창,딸기,1,51,2021-03-25,10.0,80000.0
경남,거창,딸기,1,51,2021-03-25,18.0,103500.0
경남,거창,딸기,1,51,2021-03-25,4.0,12000.0
경남,산청,딸기,1,52,2020-11-14,14.0,371000.0
경남,산청,딸기,1,52,2020-11-14,8.0,260000.0
경남,산청,딸기,1,52,2020-11-18,26.0,494000.0
경남,산청,딸기,1,52,2020-11-18,52.0,1092000.0
경남,산청,딸기,1,52,2020-11-19,20.0,400000.0
경남,산청,딸기,1,52,2020-11-19,4.0,70000.0
경남,산청,딸기,1,52,2020-11-19,60.0,1350000.0
경남,산청,딸기,1,52,2020-11-20,1.0,24000.0
경남,산청,딸기,1,52,2020-11-20,36.0,576000.0
경남,산청,딸기,1,52,2020-11-20,6.0,84000.0
경남,산청,딸기,1,52,2020-11-20,44.0,792000.0
경남,산청,딸기,1,52,2020-11-21,40.0,520000.0
경남,산청,딸기,1,52,2020-11-21,8.0,80000.0
경남,산청,딸기,1,52,2020-11-21,50.0,750000.0
경남,산청,딸기,1,52,2020-11-23,1.0,24000.0
경남,산청,딸기,1,52,2020-11-23,2.0,48000.0
경남,산청,딸기,1,52,2020-11-23,1.0,27000.0
경남,산청,딸기,1,52,2020-11-23,22.0,242000.0
경남,산청,딸기,1,52,2020-11-23,20.0,180000.0
경남,산청,딸기,1,52,2020-11-24,1.0,24000.0
경남,산청,딸기,1,52,2020-11-24,1.0,27000.0
경남,산청,딸기,1,52,2020-11-24,2.0,54000.0
경남,산청,딸기,1,52,2020-11-25,1.0,19000.0
경남,산청,딸기,1,52,2020-11-25,1.0,22000.0
경남,산청,딸기,1,52,2020-11-26,1.0,19000.0
경남,산청,딸기,1,52,2020-11-26,2.0,38000.0
경남,산청,딸기,1,52,2020-11-26,1.0,16000.0
경남,산청,딸기,1,52,2020-11-26,1.0,22000.0
경남,산청,딸기,1,52,2020-11-26,3.0,66000.0
경남,산청,딸기,1,52,2020-11-26,40.0,560000.0
경남,산청,딸기,1,52,2020-11-26,1.0,19000.0
경남,산청,딸기,1,52,2020-11-27,1.0,19000.0
경남,산청,딸기,1,52,2020-11-27,1.0,16000.0
경남,산청,딸기,1,52,2020-11-27,1.0,22000.0
경남,산청,딸기,1,52,2020-11-27,2.0,44000.0
경남,산청,딸기,1,52,2020-11-27,50.0,975000.0
경남,산청,딸기,1,52,2020-11-27,60.0,1140000.0
경남,산청,딸기,1,52,2020-11-27,20.0,310000.0
경남,산청,딸기,1,52,2020-11-27,48.0,960000.0
경남,산청,딸기,1,52,2020-11-27,50.0,1000000.0
경남,산청,딸기,1,52,2020-11-27,1.0,19000.0
경남,산청,딸기,1,52,2020-11-28,50.0,1000000.0
경남,산청,딸기,1,52,2020-11-28,60.0,1230000.0
경남,산청,딸기,1,52,2020-11-28,24.0,396000.0
경남,산청,딸기,1,52,2020-11-28,70.0,1505000.0
경남,산청,딸기,1,52,2020-11-30,1.0,19000.0
경남,산청,딸기,1,52,2020-11-30,2.0,38000.0
경남,산청,딸기,1,52,2020-11-30,1.0,16000.0
경남,산청,딸기,1,52,2020-11-30,1.0,22000.0
경남,산청,딸기,1,52,2020-11-30,82.0,1312000.0
경남,산청,딸기,1,52,2020-11-30,22.0,341000.0
경남,산청,딸기,1,52,2020-11-30,82.0,1312000.0
경남,산청,딸기,1,52,2020-11-30,1.0,19000.0
경남,산청,딸기,1,52,2020-11-30,1.0,22000.0
경남,산청,딸기,1,52,2020-12-01,1.0,19000.0
경남,산청,딸기,1,52,2020-12-01,2.0,38000.0
경남,산청,딸기,1,52,2020-12-01,1.0,16000.0
경남,산청,딸기,1,52,2020-12-01,1.0,22000.0
경남,산청,딸기,1,52,2020-12-01,1.0,15000.0
경남,산청,딸기,1,52,2020-12-01,1.0,12000.0
경남,산청,딸기,1,52,2020-12-01,1.0,18000.0
경남,산청,딸기,1,52,2020-12-02,1.0,19000.0
경남,산청,딸기,1,52,2020-12-02,1.0,16000.0
경남,산청,딸기,1,52,2020-12-02,1.0,22000.0
경남,산청,딸기,1,52,2020-12-02,2.0,44000.0
경남,산청,딸기,1,52,2020-12-02,80.0,1480000.0
경남,산청,딸기,1,52,2020-12-02,20.0,350000.0
경남,산청,딸기,1,52,2020-12-02,80.0,1640000.0
경남,산청,딸기,1,52,2020-12-02,2.0,24000.0
경남,산청,딸기,1,52,2020-12-02,1.0,18000.0
경남,산청,딸기,1,52,2020-12-02,2.0,36000.0
경남,산청,딸기,1,52,2020-12-03,1.0,19000.0
경남,산청,딸기,1,52,2020-12-03,2.0,38000.0
경남,산청,딸기,1,52,2020-12-03,1.0,16000.0
경남,산청,딸기,1,52,2020-12-03,1.0,22000.0
경남,산청,딸기,1,52,2020-12-03,38.0,703000.0
경남,산청,딸기,1,52,2020-12-03,10.0,170000.0
경남,산청,딸기,1,52,2020-12-03,40.0,840000.0
경남,산청,딸기,1,52,2020-12-03,1.0,15000.0
경남,산청,딸기,1,52,2020-12-03,1.0,12000.0
경남,산청,딸기,1,52,2020-12-03,1.0,18000.0
경남,산청,딸기,1,52,2020-12-04,1.0,19000.0
경남,산청,딸기,1,52,2020-12-04,2.0,38000.0
경남,산청,딸기,1,52,2020-12-04,1.0,16000.0
경남,산청,딸기,1,52,2020-12-04,1.0,22000.0
경남,산청,딸기,1,52,2020-12-04,60.0,1050000.0
경남,산청,딸기,1,52,2020-12-04,40.0,660000.0
경남,산청,딸기,1,52,2020-12-04,50.0,925000.0
경남,산청,딸기,1,52,2020-12-04,1.0,15000.0
경남,산청,딸기,1,52,2020-12-04,1.0,12000.0
경남,산청,딸기,1,52,2020-12-05,118.0,1947000.0
경남,산청,딸기,1,52,2020-12-05,46.0,713000.0
경남,산청,딸기,1,52,2020-12-05,58.0,986000.0
경남,산청,딸기,1,52,2020-12-05,60.0,990000.0
경남,산청,딸기,1,52,2020-12-07,1.0,19000.0
경남,산청,딸기,1,52,2020-12-07,1.0,16000.0
경남,산청,딸기,1,52,2020-12-07,1.0,22000.0
경남,산청,딸기,1,52,2020-12-07,50.0,675000.0
경남,산청,딸기,1,52,2020-12-07,50.0,725000.0
경남,산청,딸기,1,52,2020-12-07,70.0,770000.0
경남,산청,딸기,1,52,2020-12-07,50.0,875000.0
경남,산청,딸기,1,52,2020-12-07,1.0,15000.0
경남,산청,딸기,1,52,2020-12-07,1.0,12000.0
경남,산청,딸기,1,52,2020-12-07,2.0,24000.0
경남,산청,딸기,1,52,2020-12-07,1.0,18000.0
경남,산청,딸기,1,52,2020-12-07,2.0,36000.0
경남,산청,딸기,1,52,2020-12-08,1.0,19000.0
