도,시군,품목,작기,농가명,출하일자,총출하량,판매금액
강원,인제,파프리카,1,003,2020-04-16,1635.0,
강원,인제,파프리카,1,003,2020-04-16,150.0,
강원,인제,파프리카,1,003,2020-04-18,1990.0,
강원,인제,파프리카,1,003,2020-04-18,245.0,
강원,인제,파프리카,1,003,2020-04-21,5100.0,
강원,인제,파프리카,1,003,2020-04-21,120.0,
강원,인제,파프리카,1,003,2020-04-23,5190.0,
강원,인제,파프리카,1,003,2020-04-23,235.0,
강원,인제,파프리카,1,003,2020-04-28,4750.0,
강원,인제,파프리카,1,003,2020-04-28,410.0,
강원,인제,파프리카,1,003,2020-05-03,15030.0,
강원,인제,파프리카,1,003,2020-05-03,800.0,
강원,인제,파프리카,1,003,2020-05-06,7280.0,
강원,인제,파프리카,1,003,2020-05-06,275.0,
강원,인제,파프리카,1,003,2020-05-09,5035.0,
강원,인제,파프리카,1,003,2020-05-09,225.0,
강원,인제,파프리카,1,003,2020-05-12,4285.0,
강원,인제,파프리카,1,003,2020-05-12,95.0,
강원,인제,파프리카,1,003,2020-05-15,1950.0,
강원,인제,파프리카,1,003,2020-05-15,50.0,
강원,인제,파프리카,1,003,2020-05-19,3090.0,
강원,인제,파프리카,1,003,2020-05-19,25.0,
강원,인제,파프리카,1,003,2020-05-23,6465.0,
강원,인제,파프리카,1,003,2020-05-23,65.0,
강원,인제,파프리카,1,003,2020-05-25,6680.0,
강원,인제,파프리카,1,003,2020-05-25,85.0,
강원,인제,파프리카,1,003,2020-05-30,12170.0,
강원,인제,파프리카,1,003,2020-05-30,190.0,
강원,인제,파프리카,1,003,2020-06-02,5775.0,
강원,인제,파프리카,1,003,2020-06-02,105.0,
강원,인제,파프리카,1,003,2020-06-06,3740.0,
강원,인제,파프리카,1,003,2020-06-06,60.0,
강원,인제,파프리카,1,003,2020-06-09,1880.0,
강원,인제,파프리카,1,003,2020-06-09,40.0,
강원,인제,파프리카,1,003,2020-06-13,6110.0,
강원,인제,파프리카,1,003,2020-06-13,170.0,
강원,인제,파프리카,1,003,2020-06-16,3710.0,
강원,인제,파프리카,1,003,2020-06-16,60.0,
강원,인제,파프리카,1,003,2020-06-19,6160.0,
강원,인제,파프리카,1,003,2020-06-19,120.0,
강원,인제,파프리카,1,003,2020-06-23,8265.0,
강원,인제,파프리카,1,003,2020-06-23,200.0,
강원,인제,파프리카,1,003,2020-06-26,6710.0,
강원,인제,파프리카,1,003,2020-06-26,185.0,
강원,인제,파프리카,1,003,2020-06-30,5990.0,
강원,인제,파프리카,1,003,2020-06-30,165.0,
강원,인제,파프리카,1,003,2020-07-04,3295.0,
강원,인제,파프리카,1,003,2020-07-04,100.0,
강원,인제,파프리카,1,003,2020-07-07,1730.0,
강원,인제,파프리카,1,003,2020-07-07,70.0,
강원,인제,파프리카,1,003,2020-07-14,8775.0,
강원,인제,파프리카,1,003,2020-07-14,190.0,
강원,인제,파프리카,1,003,2020-07-18,8290.0,
강원,인제,파프리카,1,003,2020-07-18,225.0,
강원,인제,파프리카,1,003,2020-07-20,8300.0,
강원,인제,파프리카,1,003,2020-07-20,240.0,
강원,인제,파프리카,1,003,2020-07-25,8955.0,
강원,인제,파프리카,1,003,2020-07-25,225.0,
강원,인제,파프리카,1,003,2020-07-28,5355.0,
강원,인제,파프리카,1,003,2020-07-28,130.0,
강원,인제,파프리카,1,003,2020-08-01,4640.0,
강원,인제,파프리카,1,003,2020-08-01,240.0,
강원,인제,파프리카,1,003,2020-08-08,5625.0,
강원,인제,파프리카,1,003,2020-08-08,190.0,
강원,인제,파프리카,1,003,2020-08-10,2030.0,
강원,인제,파프리카,1,003,2020-08-10,85.0,
강원,인제,파프리카,1,003,2020-08-18,4765.0,
강원,인제,파프리카,1,003,2020-08-18,210.0,
강원,인제,파프리카,1,003,2020-08-29,10090.0,
강원,인제,파프리카,1,003,2020-08-29,695.0,
강원,인제,파프리카,1,003,2020-09-01,11725.0,
강원,인제,파프리카,1,003,2020-09-01,815.0,
강원,인제,파프리카,1,003,2020-09-08,7530.0,
강원,인제,파프리카,1,003,2020-09-08,645.0,
강원,인제,파프리카,1,003,2020-09-14,2265.0,
강원,인제,파프리카,1,003,2020-09-14,315.0,
강원,인제,파프리카,1,003,2020-09-21,1155.0,
강원,인제,파프리카,1,003,2020-09-21,110.0,
강원,인제,파프리카,1,003,2020-09-29,7890.0,
강원,인제,파프리카,1,003,2020-09-29,830.0,
강원,인제,파프리카,1,003,2020-10-06,10000.0,
강원,인제,파프리카,1,003,2020-10-06,1360.0,
강원,인제,파프리카,1,003,2020-10-10,7335.0,
강원,인제,파프리카,1,003,2020-10-10,805.0,
강원,인제,파프리카,1,003,2020-10-13,3790.0,
강원,인제,파프리카,1,003,2020-10-13,535.0,
강원,인제,파프리카,1,003,2020-10-20,5440.0,
강원,인제,파프리카,1,003,2020-10-20,570.0,
강원,인제,파프리카,1,003,2020-10-27,4575.0,
강원,인제,파프리카,1,003,2020-10-27,120.0,
강원,인제,파프리카,1,003,2020-11-03,6945.0,
강원,인제,파프리카,1,003,2020-11-03,245.0,
강원,인제,파프리카,1,003,2020-11-10,11060.0,
강원,인제,파프리카,1,003,2020-11-10,395.0,
강원,인제,파프리카,1,003,2020-11-14,3985.0,
강원,인제,파프리카,1,003,2020-11-14,100.0,
강원,인제,파프리카,1,003,2020-11-17,4865.0,
강원,인제,파프리카,1,003,2020-11-17,215.0,
강원,인제,파프리카,1,003,2020-11-28,6170.0,
강원,인제,파프리카,1,003,2020-11-28,230.0,
강원,인제,파프리카,1,003,2020-12-07,5375.0,
강원,인제,파프리카,1,003,2020-12-07,295.0,
강원,인제,파프리카,1,003,2020-12-15,5085.0,
강원,인제,파프리카,1,003,2020-12-15,360.0,
강원,인제,파프리카,1,003,2020-12-22,3850.0,
강원,인제,파프리카,1,003,2020-12-22,590.0,
강원,철원,파프리카,1,002,2020-05-27,132.0,
강원,철원,파프리카,1,002,2020-05-29,444.0,
강원,철원,파프리카,1,002,2020-06-01,774.0,
강원,철원,파프리카,1,002,2020-06-03,1368.0,
강원,철원,파프리카,1,002,2020-06-04,648.0,
강원,철원,파프리카,1,002,2020-06-05,1128.0,
강원,철원,파프리카,1,002,2020-06-07,1446.0,
강원,철원,파프리카,1,002,2020-06-08,996.0,
강원,철원,파프리카,1,002,2020-06-09,798.0,
강원,철원,파프리카,1,002,2020-06-10,1104.0,
강원,철원,파프리카,1,002,2020-06-11,612.0,
강원,철원,파프리카,1,002,2020-06-12,798.0,
강원,철원,파프리카,1,002,2020-06-14,1482.0,
강원,철원,파프리카,1,002,2020-06-15,1944.0,
강원,철원,파프리카,1,002,2020-06-16,1818.0,
강원,철원,파프리카,1,002,2020-06-17,1062.0,
강원,철원,파프리카,1,002,2020-06-18,834.0,
강원,철원,파프리카,1,002,2020-06-19,768.0,
