case,model,num_units,num_layers,learning_rate,epochs,batch_size,mean_mse,mean_rmse
A,GRU,64,2,5e-05,100,16,0.5933741725226296,0.7703078426983784
A,GRU,64,2,5e-05,100,32,0.5998609702692479,0.774506920736831
A,GRU,64,2,5e-05,150,16,0.3414861288802519,0.5843681449910253
A,GRU,64,2,5e-05,150,32,0.5702676422511066,0.7551606731359272
A,GRU,64,2,5e-05,200,16,0.2536256146951656,0.5036125640759627
A,GRU,64,2,5e-05,200,32,0.5157637024844072,0.7181669043365945
A,GRU,64,2,0.0001,100,16,0.3175331800034272,0.5635008252020818
A,GRU,64,2,0.0001,100,32,0.39219206956276964,0.6262524008439166
A,GRU,64,2,0.0001,150,16,0.2853885639954375,0.5342177121693341
A,GRU,64,2,0.0001,150,32,0.2917385418123502,0.5401282642228142
A,GRU,64,2,0.0001,200,16,0.28385224863928943,0.5327778605003115
A,GRU,64,2,0.0001,200,32,0.29193361185458505,0.5403088115648171
A,GRU,64,2,0.001,100,16,0.25564935511823267,0.5056177954920422
A,GRU,64,2,0.001,100,32,0.2600059524880774,0.5099077882206521
A,GRU,64,2,0.001,150,16,0.2928512036998209,0.5411572818504994
A,GRU,64,2,0.001,150,32,0.4002640197090496,0.6326642235096351
A,GRU,64,2,0.001,200,16,0.3240727304788255,0.5692738624588569
A,GRU,64,2,0.001,200,32,0.3429755107758216,0.5856411108996888
A,GRU,64,3,5e-05,100,16,0.5086218214164626,0.7131772720835
A,GRU,64,3,5e-05,100,32,0.5851921117790394,0.7649785041287366
A,GRU,64,3,5e-05,150,16,0.3788937948020124,0.6155434954591044
A,GRU,64,3,5e-05,150,32,0.5658841418226875,0.7522527114093293
A,GRU,64,3,5e-05,200,16,0.3044262847914985,0.551748389024833
A,GRU,64,3,5e-05,200,32,0.3753510229647369,0.6126589777067964
A,GRU,64,3,0.0001,100,16,0.3767580776079581,0.6138062215454957
A,GRU,64,3,0.0001,100,32,0.3716366244102783,0.6096200656230717
A,GRU,64,3,0.0001,150,16,0.3142214234335481,0.5605545677572774
A,GRU,64,3,0.0001,150,32,0.31327998794131995,0.5597142020186016
A,GRU,64,3,0.0001,200,16,0.27243898243425785,0.5219568779451592
A,GRU,64,3,0.0001,200,32,0.33402278615535225,0.5779470444213313
A,GRU,64,3,0.001,100,16,0.324495286612035,0.5696448776317005
A,GRU,64,3,0.001,100,32,0.38342995573094063,0.6192172120758116
A,GRU,64,3,0.001,150,16,0.22900646627025265,0.4785462007688
A,GRU,64,3,0.001,150,32,0.352913219260728,0.5940649958217771
A,GRU,64,3,0.001,200,16,0.2880896125169292,0.5367397996393869
A,GRU,64,3,0.001,200,32,0.33774041597223664,0.5811543822189046
