case,model,num_units,num_layers,learning_rate,epochs,batch_size,mean_mse,mean_rmse
A,LSTM,64,2,5e-05,100,16,0.6072329732675802,0.779251546849655
A,LSTM,64,2,5e-05,100,32,0.48298444888506964,0.6949708259237
A,LSTM,64,2,5e-05,150,16,0.6753462474852393,0.821794528751098
A,LSTM,64,2,5e-05,150,32,0.5367759600260713,0.7326499573644096
A,LSTM,64,2,5e-05,200,16,0.4645183284179491,0.6815558146021125
A,LSTM,64,2,5e-05,200,32,0.4664226559269171,0.6829514301375443
A,LSTM,64,2,0.0001,100,16,0.5157847362957885,0.7181815482841288
A,LSTM,64,2,0.0001,100,32,0.5958785956764137,0.7719317299323909
A,LSTM,64,2,0.0001,150,16,0.587788161575853,0.7666734386789809
A,LSTM,64,2,0.0001,150,32,0.6144244148712203,0.7838522914881478
A,LSTM,64,2,0.0001,200,16,0.42792495708640205,0.654159733617411
A,LSTM,64,2,0.0001,200,32,0.5870380747050453,0.7661840997469507
A,LSTM,64,2,0.001,100,16,0.33828304326079145,0.5816210478144609
A,LSTM,64,2,0.001,100,32,0.37646981428560583,0.6135713603857386
A,LSTM,64,2,0.001,150,16,0.4165390677515434,0.6453983791051411
A,LSTM,64,2,0.001,150,32,0.4797617588717324,0.6926483659633742
A,LSTM,64,2,0.001,200,16,0.39639039471721943,0.6295954214550956
A,LSTM,64,2,0.001,200,32,0.3781533871316189,0.6149417753996055
A,LSTM,64,3,5e-05,100,16,0.46949735113186336,0.685198767608249
A,LSTM,64,3,5e-05,100,32,0.4846944616889663,0.6962000155766778
A,LSTM,64,3,5e-05,150,16,0.5141240987325684,0.7170244756858501
A,LSTM,64,3,5e-05,150,32,0.4598530805613999,0.6781246792157029
A,LSTM,64,3,5e-05,200,16,0.6474189403647739,0.8046234773885074
A,LSTM,64,3,5e-05,200,32,0.6024601358641993,0.7761830556409998
A,LSTM,64,3,0.0001,100,16,0.3679768990459714,0.6066109948277986
A,LSTM,64,3,0.0001,100,32,0.7459364988753513,0.8636761539346511
A,LSTM,64,3,0.0001,150,16,0.4690657649611111,0.6848837601820553
A,LSTM,64,3,0.0001,150,32,0.7081957136205101,0.8415436492663408
A,LSTM,64,3,0.0001,200,16,0.6606885723575247,0.8128275169785559
A,LSTM,64,3,0.0001,200,32,0.4827165207176529,0.6947780370144503
A,LSTM,64,3,0.001,100,16,0.35446659915755696,0.5953709760792484
A,LSTM,64,3,0.001,100,32,0.40123187324490917,0.6334286646852265
A,LSTM,64,3,0.001,150,16,0.3291062251271974,0.5736778060263421
A,LSTM,64,3,0.001,150,32,0.41075036894731065,0.6408980956028116
A,LSTM,64,3,0.001,200,16,0.3844325325563874,0.6200262353774938
A,LSTM,64,3,0.001,200,32,0.34320510373142343,0.5858370965818257
