case,model,num_units,num_layers,learning_rate,epochs,batch_size,mean_mse,mean_rmse
B,GRU,64,2,5e-05,100,16,0.4710805671914226,0.6863530922137836
B,GRU,64,2,5e-05,100,32,0.42687073542149123,0.6533534536692152
B,GRU,64,2,5e-05,150,16,0.4745276705860521,0.68885968860578
B,GRU,64,2,5e-05,150,32,0.4632835823581099,0.6806493828382641
B,GRU,64,2,5e-05,200,16,0.5402674978780533,0.7350289095525789
B,GRU,64,2,5e-05,200,32,0.42262100203245906,0.6500930718231498
B,GRU,64,2,0.0001,100,16,0.48815244860951934,0.69867907411738
B,GRU,64,2,0.0001,100,32,0.45063527928035485,0.6712937354693211
B,GRU,64,2,0.0001,150,16,0.5053174922403827,0.7108568718387568
B,GRU,64,2,0.0001,150,32,0.47500180110204654,0.6892037442600313
B,GRU,64,2,0.0001,200,16,0.37480237204596123,0.6122110518815886
B,GRU,64,2,0.0001,200,32,0.36787563538224477,0.6065275223617184
B,GRU,64,2,0.001,100,16,0.3532555568117445,0.5943530573756178
B,GRU,64,2,0.001,100,32,0.3149555700737022,0.5612090252960141
B,GRU,64,2,0.001,150,16,0.3017562993006222,0.549323492398261
B,GRU,64,2,0.001,150,32,0.40640396948019375,0.6374982113545055
B,GRU,64,2,0.001,200,16,0.38066179437459363,0.6169779529080384
B,GRU,64,2,0.001,200,32,0.3754673756473002,0.6127539274841902
B,GRU,64,3,5e-05,100,16,0.47740266964371064,0.690943318690984
B,GRU,64,3,5e-05,100,32,0.37953791036867807,0.6160664821013054
B,GRU,64,3,5e-05,150,16,0.6098092446142092,0.7809028394199942
B,GRU,64,3,5e-05,150,32,0.529965964438975,0.7279876128334706
B,GRU,64,3,5e-05,200,16,0.33833898923006017,0.5816691406891552
B,GRU,64,3,5e-05,200,32,0.4869285264004832,0.6978026414398868
B,GRU,64,3,0.0001,100,16,0.5485235546170424,0.7406237604999196
B,GRU,64,3,0.0001,100,32,0.3996262954544848,0.632160023613076
B,GRU,64,3,0.0001,150,16,0.3438453733704934,0.5863832990207799
B,GRU,64,3,0.0001,150,32,0.40090721473183133,0.6331723420458535
B,GRU,64,3,0.0001,200,16,0.4233700739921293,0.6506689434667443
B,GRU,64,3,0.0001,200,32,0.547030229144487,0.7396149194983068
B,GRU,64,3,0.001,100,16,0.44362363247954456,0.6660507731994195
B,GRU,64,3,0.001,100,32,0.36107018493550735,0.6008911589759891
B,GRU,64,3,0.001,150,16,0.38078662525306234,0.6170791077755448
B,GRU,64,3,0.001,150,32,0.32402263239510987,0.569229859015767
B,GRU,64,3,0.001,200,16,0.4067210078264339,0.6377468211025704
B,GRU,64,3,0.001,200,32,0.459233832898145,0.6776679370444975
