case,model,num_units,num_layers,learning_rate,epochs,batch_size,mean_mse,mean_rmse
B,GRU,75,2,5e-05,100,16,0.4113927323033295,0.641399042954797
B,GRU,75,2,5e-05,100,32,0.5143553214080372,0.7171856952059468
B,GRU,75,2,5e-05,150,16,0.5182135228209104,0.7198704903112159
B,GRU,75,2,5e-05,150,32,0.4096751654995374,0.6400587203527013
B,GRU,75,2,5e-05,200,16,0.4786110436431712,0.6918172039225182
B,GRU,75,2,5e-05,200,32,0.5593114864833515,0.7478713034228225
B,GRU,75,2,0.0001,100,16,0.5891454475657546,0.7675581069637364
B,GRU,75,2,0.0001,100,32,0.39102267846794314,0.6253180618436854
B,GRU,75,2,0.0001,150,16,0.3934422844724265,0.6272497783757492
B,GRU,75,2,0.0001,150,32,0.48930320430245205,0.6995021117212242
B,GRU,75,2,0.0001,200,16,0.3987375823734192,0.631456714568322
B,GRU,75,2,0.0001,200,32,0.3703783950661411,0.6085872123748092
B,GRU,75,2,0.001,100,16,0.3032524346943213,0.5506836067056303
B,GRU,75,2,0.001,100,32,0.3679116666530282,0.6065572245493646
B,GRU,75,2,0.001,150,16,0.372287032580473,0.6101532861342902
B,GRU,75,2,0.001,150,32,0.3798509563772861,0.6163204980992325
B,GRU,75,2,0.001,200,16,0.2976677239896472,0.5455893363965678
B,GRU,75,2,0.001,200,32,0.3347828993756103,0.5786042683696779
B,GRU,75,3,5e-05,100,16,0.510569135214252,0.7145412060995866
B,GRU,75,3,5e-05,100,32,0.47782575662838256,0.6912494170908086
B,GRU,75,3,5e-05,150,16,0.5564258556953289,0.7459395791183954
B,GRU,75,3,5e-05,150,32,0.43241359419480263,0.6575816254996809
B,GRU,75,3,5e-05,200,16,0.5379019490628061,0.7334179906866248
B,GRU,75,3,5e-05,200,32,0.4461684072035446,0.6679583873292891
B,GRU,75,3,0.0001,100,16,0.45944559420999426,0.6778241617189478
B,GRU,75,3,0.0001,100,32,0.5583685167217564,0.7472406016282549
B,GRU,75,3,0.0001,150,16,0.39211834825123565,0.6261935389727649
B,GRU,75,3,0.0001,150,32,0.48883712315539685,0.6991688802824371
B,GRU,75,3,0.0001,200,16,0.4242405167183599,0.6513374829674398
B,GRU,75,3,0.0001,200,32,0.5387898101475289,0.7340230310743178
B,GRU,75,3,0.001,100,16,0.36573819956963816,0.6047629284022278
B,GRU,75,3,0.001,100,32,0.3084542955359632,0.5553866180742594
B,GRU,75,3,0.001,150,16,0.4207571772438294,0.6486579817159651
B,GRU,75,3,0.001,150,32,0.3628719805008105,0.6023885627241029
B,GRU,75,3,0.001,200,16,0.3598978756289093,0.5999148903210432
B,GRU,75,3,0.001,200,32,0.3539704952701472,0.594954195942971
