case,model,num_units,num_layers,learning_rate,epochs,batch_size,mean_mse,mean_rmse
B,LSTM,64,2,5e-05,100,16,0.5445044638605845,0.7379054572644008
B,LSTM,64,2,5e-05,100,32,0.493741881148399,0.7026676889884713
B,LSTM,64,2,5e-05,150,16,0.49676594559575576,0.7048162495259
B,LSTM,64,2,5e-05,150,32,0.5562716116773788,0.7458361828695218
B,LSTM,64,2,5e-05,200,16,0.40699876015387687,0.6379645445899614
B,LSTM,64,2,5e-05,200,32,0.550901226768748,0.742227206971523
B,LSTM,64,2,0.0001,100,16,0.5053201638978582,0.7108587510172877
B,LSTM,64,2,0.0001,100,32,0.4278313051806741,0.6540881478674523
B,LSTM,64,2,0.0001,150,16,0.5651260811016016,0.7517486821415795
B,LSTM,64,2,0.0001,150,32,0.5415945218226473,0.735931057791861
B,LSTM,64,2,0.0001,200,16,0.3339392813693377,0.5778747973128242
B,LSTM,64,2,0.0001,200,32,0.527180960753564,0.7260722834219496
B,LSTM,64,2,0.001,100,16,0.43089296764341484,0.6564243807503
B,LSTM,64,2,0.001,100,32,0.37890582581898286,0.6155532680597049
B,LSTM,64,2,0.001,150,16,0.4092592740020616,0.6397337524330428
B,LSTM,64,2,0.001,150,32,0.37262053167341,0.6104265161945458
B,LSTM,64,2,0.001,200,16,0.3679063687683883,0.6065528573573685
B,LSTM,64,2,0.001,200,32,0.5120029660051801,0.7155438253560575
B,LSTM,64,3,5e-05,100,16,0.36868472283040477,0.6071941393248166
B,LSTM,64,3,5e-05,100,32,0.4229857694338344,0.6503735614505208
B,LSTM,64,3,5e-05,150,16,0.29614436471319994,0.5441914779865631
B,LSTM,64,3,5e-05,150,32,0.47815992658909,0.6914910893056323
B,LSTM,64,3,5e-05,200,16,0.3407119545405356,0.5837053662084456
B,LSTM,64,3,5e-05,200,32,0.4402283639722526,0.6634970715626803
B,LSTM,64,3,0.0001,100,16,0.4079035917295618,0.6386733059472283
B,LSTM,64,3,0.0001,100,32,0.45789752755708896,0.6766812599422929
B,LSTM,64,3,0.0001,150,16,0.4342210846946175,0.6589545391714192
B,LSTM,64,3,0.0001,150,32,0.5380063130642807,0.7334891362960195
B,LSTM,64,3,0.0001,200,16,0.38065005402888863,0.6169684384382143
B,LSTM,64,3,0.0001,200,32,0.5752588205058797,0.7584581863925524
B,LSTM,64,3,0.001,100,16,0.40434036028188597,0.6358776299586941
B,LSTM,64,3,0.001,100,32,0.4476897295714947,0.669096203524945
B,LSTM,64,3,0.001,150,16,0.392660215123338,0.626626056849967
B,LSTM,64,3,0.001,150,32,0.4012194983821892,0.6334188964517787
B,LSTM,64,3,0.001,200,16,0.36570801690129295,0.6047379737549916
B,LSTM,64,3,0.001,200,32,0.4357925477078532,0.6601458533595839
